,trip_date,time_indicator,trips,Day,Weekday ,Holiday ,Month,Season
320,21/1/19,Night,6131,MONDAY,WEEKDAY,1,1,Spring
883,21/1/19,AM Period,6509,MONDAY,WEEKDAY,1,1,Spring
1096,21/1/19,PM Period,12214,MONDAY,WEEKDAY,1,1,Spring
1111,21/1/19,Lunch Period,6427,MONDAY,WEEKDAY,1,1,Spring
159,22/1/19,PM Period,20044,TUESDAY,WEEKDAY,0,1,Spring
995,22/1/19,Night,7573,TUESDAY,WEEKDAY,0,1,Spring
1145,22/1/19,Lunch Period,10349,TUESDAY,WEEKDAY,0,1,Spring
1413,22/1/19,AM Period,11885,TUESDAY,WEEKDAY,0,1,Spring
430,23/1/19,Night,9532,WEDNESDAY,WEEKDAY,0,1,Spring
431,23/1/19,PM Period,20668,WEDNESDAY,WEEKDAY,0,1,Spring
627,23/1/19,Lunch Period,10684,WEDNESDAY,WEEKDAY,0,1,Spring
668,23/1/19,AM Period,12284,WEDNESDAY,WEEKDAY,0,1,Spring
157,24/1/19,PM Period,22395,THURSDAY,WEEKDAY,0,1,Spring
419,24/1/19,AM Period,12199,THURSDAY,WEEKDAY,0,1,Spring
886,24/1/19,Night,10465,THURSDAY,WEEKDAY,0,1,Spring
1244,24/1/19,Lunch Period,11683,THURSDAY,WEEKDAY,0,1,Spring
113,25/1/19,PM Period,19786,FRIDAY,WEEKDAY,0,1,Spring
155,25/1/19,Night,10033,FRIDAY,WEEKDAY,0,1,Spring
1042,25/1/19,AM Period,11969,FRIDAY,WEEKDAY,0,1,Spring
1346,25/1/19,Lunch Period,10858,FRIDAY,WEEKDAY,0,1,Spring
67,26/1/19,Lunch Period,4844,SATURDAY,WEEKEND,0,1,Spring
78,26/1/19,AM Period,3485,SATURDAY,WEEKEND,0,1,Spring
1057,26/1/19,Night,10710,SATURDAY,WEEKEND,0,1,Spring
1210,26/1/19,PM Period,10626,SATURDAY,WEEKEND,0,1,Spring
838,27/1/19,Lunch Period,4255,SUNDAY,WEEKEND,0,1,Spring
1114,27/1/19,AM Period,3543,SUNDAY,WEEKEND,0,1,Spring
1216,27/1/19,PM Period,7851,SUNDAY,WEEKEND,0,1,Spring
1359,27/1/19,Night,9812,SUNDAY,WEEKEND,0,1,Spring
669,28/1/19,PM Period,16518,MONDAY,WEEKDAY,0,1,Spring
727,28/1/19,Lunch Period,7289,MONDAY,WEEKDAY,0,1,Spring
1112,28/1/19,Night,6731,MONDAY,WEEKDAY,0,1,Spring
1163,28/1/19,AM Period,8807,MONDAY,WEEKDAY,0,1,Spring
69,29/1/19,Night,5978,TUESDAY,WEEKDAY,0,1,Spring
259,29/1/19,Lunch Period,9259,TUESDAY,WEEKDAY,0,1,Spring
441,29/1/19,PM Period,17767,TUESDAY,WEEKDAY,0,1,Spring
1252,29/1/19,AM Period,11534,TUESDAY,WEEKDAY,0,1,Spring
68,30/1/19,Lunch Period,2493,WEDNESDAY,WEEKDAY,0,1,Spring
484,30/1/19,Night,2698,WEDNESDAY,WEEKDAY,0,1,Spring
1156,30/1/19,AM Period,3721,WEDNESDAY,WEEKDAY,0,1,Spring
1174,30/1/19,PM Period,5117,WEDNESDAY,WEEKDAY,0,1,Spring
77,31/1/19,Lunch Period,5375,THURSDAY,WEEKDAY,0,1,Spring
619,31/1/19,PM Period,11923,THURSDAY,WEEKDAY,0,1,Spring
1352,31/1/19,Night,5276,THURSDAY,WEEKDAY,0,1,Spring
1422,31/1/19,AM Period,5993,THURSDAY,WEEKDAY,0,1,Spring
110,1/2/19,Lunch Period,10413,FRIDAY,WEEKDAY,0,2,Spring
160,1/2/19,PM Period,20668,FRIDAY,WEEKDAY,0,2,Spring
521,1/2/19,AM Period,11360,FRIDAY,WEEKDAY,0,2,Spring
890,1/2/19,Night,9328,FRIDAY,WEEKDAY,0,2,Spring
375,2/2/19,Night,11143,SATURDAY,WEEKEND,0,2,Spring
724,2/2/19,PM Period,9603,SATURDAY,WEEKEND,0,2,Spring
1202,2/2/19,Lunch Period,4618,SATURDAY,WEEKEND,0,2,Spring
1420,2/2/19,AM Period,3622,SATURDAY,WEEKEND,0,2,Spring
15,3/2/19,Night,10642,SUNDAY,WEEKEND,0,2,Spring
158,3/2/19,PM Period,7132,SUNDAY,WEEKEND,0,2,Spring
772,3/2/19,Lunch Period,3566,SUNDAY,WEEKEND,0,2,Spring
1203,3/2/19,AM Period,3277,SUNDAY,WEEKEND,0,2,Spring
156,4/2/19,Lunch Period,9275,MONDAY,WEEKDAY,0,2,Spring
617,4/2/19,AM Period,10952,MONDAY,WEEKDAY,0,2,Spring
631,4/2/19,Night,7134,MONDAY,WEEKDAY,0,2,Spring
1038,4/2/19,PM Period,17752,MONDAY,WEEKDAY,0,2,Spring
167,5/2/19,Night,7385,TUESDAY,WEEKDAY,0,2,Spring
270,5/2/19,PM Period,19661,TUESDAY,WEEKDAY,0,2,Spring
