,dropoff_community_area,end_hour,cal_day_desc,average_speed,total_trips,avg_trips
159,50,7,All,54.71619657984075,68,0.1863013698630137
160,59,7,All,17.663164269492814,102,0.27945205479452057
161,21,8,All,19.59095416512603,1194,3.271232876712329
162,2,15,All,13.854526410534975,4680,12.821917808219178
163,1,16,All,22.431952943077366,3732,10.224657534246575
164,1,11,All,22.637828687521168,2664,7.298630136986302
165,37,14,All,29.6220300740494,334,0.915068493150685
166,59,9,All,9.496935196800429,3615,9.904109589041095
167,14,9,All,20.850133576040125,1021,2.797260273972603
168,15,8,All,13.383569647310294,840,2.3013698630136985
169,4,13,All,23.078359743253028,4071,11.153424657534247
170,58,9,All,19.87898418436511,201,0.5506849315068493
171,65,16,All,22.092065860438588,173,0.473972602739726
172,19,22,All,26.514875160882507,583,1.5972602739726027
173,44,11,All,27.43457905988427,1015,2.780821917808219
174,20,19,All,20.426401885538166,312,0.8547945205479452
175,34,13,All,24.44853528373576,3186,8.728767123287671
176,13,10,All,22.19424283142082,1093,2.9945205479452053
177,43,18,All,26.429430564656325,1128,3.0904109589041098
178,48,12,All,31.587137018693674,319,0.873972602739726
179,70,12,All,26.945549132947974,359,0.9835616438356164
180,72,15,All,29.803298761993407,224,0.6136986301369863
181,2,4,All,14.677299108469692,1911,5.235616438356164
182,2,0,All,27.298899298474993,3140,8.602739726027398
183,1,4,All,21.949358719806455,2539,6.956164383561644
184,23,16,All,19.197291553734797,965,2.643835616438356
185,10,6,All,38.05464753323954,437,1.1972602739726028
186,1,6,All,20.703348360984734,1202,3.293150684931507
187,22,6,All,28.28354405601115,1699,4.654794520547945
188,10,13,All,27.847032165968002,1357,3.717808219178082
189,28,0,All,25.226190102387143,26146,71.63287671232877
190,28,13,All,17.660858843188667,104247,285.6082191780822
191,28,2,All,24.432687423262305,12690,34.76712328767123
192,7,1,All,25.375931275493937,21313,58.391780821917806
193,28,10,All,19.263686714690976,81220,222.5205479452055
194,33,7,All,23.66284282434349,12931,35.42739726027397
195,32,1,All,29.74884286549023,30033,82.28219178082192
196,59,11,All,14.193412798576997,4098,11.227397260273973
197,22,20,All,28.745798578845587,13807,37.827397260273976
198,33,23,All,25.804436914720096,15605,42.75342465753425
199,33,18,All,18.678388177135815,33355,91.38356164383562
200,33,6,All,27.952144892772555,4816,13.194520547945206
201,2,19,All,20.165705180934804,3856,10.564383561643835
202,2,10,All,14.64745169618703,3164,8.668493150684931
203,2,13,All,17.606594497262346,3761,10.304109589041095
204,24,1,All,26.047817180432865,20454,56.038356164383565
205,24,16,All,18.999212157554847,24984,68.44931506849315
206,24,18,All,16.044075406011167,41215,112.91780821917808
207,24,2,All,24.790885570958807,16900,46.3013698630137
208,24,17,All,16.31668618939589,33111,90.71506849315068
209,24,7,All,24.281007821693084,4389,12.024657534246575
210,24,8,All,21.292664675774976,6290,17.232876712328768
211,24,5,All,27.764324547096848,5303,14.528767123287672
212,8,4,All,18.23534262494706,31898,87.3917808219178
213,50,13,All,35.02518499437697,221,0.6054794520547945
214,66,1,All,33.822805351747945,96,0.26301369863013696
215,66,19,All,23.652676499583965,185,0.5068493150684932
216,32,21,All,28.036101733683026,108441,297.0986301369863
217,32,14,All,19.38462035986876,232911,638.1123287671232
218,32,2,All,25.960912997178806,19592,53.676712328767124
219,76,10,All,39.345723674968056,31179,85.42191780821918
220,76,12,All,38.748088212805015,37732,103.37534246575342
221,76,7,All,34.896679882980145,34603,94.8027397260274
222,76,5,All,54.24780337862628,20717,56.75890410958904
223,76,19,All,26.85946560851334,22537,61.74520547945205
224,76,21,All,28.837708561770235,11702,32.06027397260274
225,41,15,All,30.873356955654607,5249,14.38082191780822
226,1,20,All,27.4546369274276,4011,10.98904109589041
227,1,18,All,22.00892473633409,3339,9.147945205479452
228,1,23,All,30.51413798148672,3791,10.386301369863014
229,1,9,All,18.60110126870956,2601,7.126027397260274
230,1,21,All,29.32420083247692,3882,10.635616438356164
231,1,7,All,19.97382475775662,1658,4.542465753424658
232,1,5,All,24.57429837675697,1956,5.358904109589041
233,23,5,All,21.46173940239273,656,1.7972602739726027
234,23,11,All,23.405600717212465,841,2.304109589041096
235,23,19,All,20.44437897929636,1039,2.8465753424657536
236,23,2,All,24.7905046057972,1232,3.3753424657534246
237,3,9,All,17.97000234206537,7202,19.731506849315068
238,3,0,All,28.972937818873685,9275,25.410958904109588
239,3,5,All,20.903581097615035,4065,11.136986301369863
240,20,1,All,24.4252533814247,561,1.536986301369863
241,20,3,All,23.887021168829776,335,0.9178082191780822
242,20,21,All,26.70335506003431,299,0.8191780821917808
243,20,15,All,19.971350200327908,270,0.7397260273972602
244,21,21,All,31.593476335013147,2881,7.8931506849315065
245,21,13,All,25.176049261194283,2775,7.602739726027397
246,21,11,All,20.25287098710402,2208,6.049315068493151
247,21,23,All,30.97237969200341,2917,7.991780821917808
248,21,12,All,21.77179375734421,2716,7.441095890410959
249,7,9,All,22.464492698987733,11698,32.04931506849315
250,7,14,All,23.30547947463775,27877,76.37534246575342
251,73,17,All,25.286830492961073,532,1.4575342465753425
252,73,5,All,21.412223722275797,36,0.09863013698630137
253,73,8,All,31.141295907314085,263,0.7205479452054795
254,73,23,All,42.071125569810775,172,0.4712328767123288
255,73,4,All,50.495916221558645,38,0.10410958904109589
256,73,22,All,47.78643119695247,126,0.3452054794520548
257,72,19,All,33.831010671816244,272,0.7452054794520548
258,5,22,All,32.331295472874125,7245,19.84931506849315
259,51,16,All,28.540818951949532,229,0.6273972602739726
260,51,10,All,26.92557760023314,284,0.7780821917808219
261,51,9,All,33.72502334009233,178,0.4876712328767123
262,46,9,All,27.762022436221354,169,0.46301369863013697
263,46,23,All,37.91429783239519,310,0.8493150684931506
264,56,12,All,34.12474285823641,12274,33.62739726027397
265,56,6,All,42.61073848038492,8201,22.46849315068493
266,56,23,All,35.49109077651947,1294,3.5452054794520547
267,56,4,All,52.69595143947841,2684,7.353424657534247
268,56,21,All,30.657098317559633,2911,7.975342465753425
269,10,7,All,34.10668294931001,619,1.6958904109589041
270,10,10,All,31.27676057445986,1211,3.317808219178082
271,10,1,All,38.615451472185605,835,2.287671232876712
272,10,14,All,29.075688359852425,1519,4.161643835616438
273,10,21,All,34.11188634609985,1754,4.8054794520547945
274,10,15,All,26.30143082439548,1707,4.676712328767123
275,10,20,All,33.951684657044964,1664,4.558904109589041
276,10,5,All,37.913821759846215,492,1.347945205479452
277,10,17,All,23.43893147157853,1835,5.027397260273973
278,68,12,All,30.419253171626913,515,1.4109589041095891
279,6,16,All,22.550797774005,33117,90.73150684931507
280,33,4,All,24.924771397650463,2369,6.49041095890411
281,33,3,All,24.952467076297285,3320,9.095890410958905
282,48,15,All,28.75367630564723,280,0.7671232876712328
283,48,22,All,37.32423367965158,71,0.19452054794520549
284,48,7,All,31.75961452145216,93,0.2547945205479452
285,48,21,All,35.730929793133896,142,0.38904109589041097
286,49,18,All,27.858131244223404,571,1.5643835616438355
287,49,2,All,45.1244871976965,53,0.14520547945205478
288,49,12,All,34.35704432631903,832,2.2794520547945205
289,49,13,All,35.11968432312746,739,2.0246575342465754
290,34,18,All,20.597920318972463,3730,10.219178082191782
291,28,9,All,16.638075872592303,88113,241.4054794520548
292,38,10,All,19.668228147673148,1187,3.252054794520548
293,38,8,All,22.03361623090608,654,1.7917808219178082
294,38,2,All,28.019142544527387,257,0.7041095890410959
295,38,19,All,23.112074011443035,1032,2.8273972602739725
296,19,17,All,16.1338306921692,619,1.6958904109589041
297,19,21,All,25.593584833539765,641,1.7561643835616438
298,19,2,All,21.949530680242226,1067,2.9232876712328766
299,19,19,All,19.77886447267209,683,1.8712328767123287
300,19,18,All,17.8500422849032,693,1.8986301369863015
301,17,11,All,21.76295815494172,424,1.1616438356164382
302,40,16,All,19.741250611534902,413,1.1315068493150684
303,40,11,All,24.189339342836952,386,1.0575342465753426
304,40,15,All,21.981832097479643,405,1.1095890410958904
305,40,0,All,37.243887540973866,90,0.2465753424657534
306,40,18,All,19.90764352437083,535,1.4657534246575343
307,22,7,All,27.678590294138168,1598,4.3780821917808215
308,16,0,All,29.35344662191768,3924,10.75068493150685
309,16,22,All,31.98713839425804,4574,12.531506849315068
310,16,16,All,19.44215587878276,3760,10.301369863013699
311,16,4,All,25.005686607355017,2118,5.802739726027397
312,16,23,All,31.153601342067077,4444,12.175342465753424
313,16,7,All,18.437710013062475,1702,4.663013698630137
314,16,2,All,28.963209486584493,2911,7.975342465753425
315,16,9,All,20.800274432677757,2111,5.7835616438356166
316,27,12,All,27.43452971333132,918,2.515068493150685
317,27,4,All,38.134335239499244,191,0.5232876712328767
318,27,9,All,23.911211225024566,756,2.0712328767123287
319,27,18,All,21.6534758568123,595,1.63013698630137
320,27,11,All,27.4682771013249,1032,2.8273972602739725
321,28,12,All,18.530856260722256,101003,276.72054794520545
322,28,14,All,17.44572400394274,102924,281.9835616438356
323,28,22,All,24.647143704095996,52458,143.72054794520548
324,12,10,All,29.130840165822192,536,1.4684931506849315
325,12,20,All,35.17766033086117,1009,2.7643835616438355
326,12,9,All,25.592270858208153,534,1.463013698630137
327,53,17,All,28.5476554520548,372,1.0191780821917809
328,53,8,All,50.993814554606004,156,0.4273972602739726
329,53,13,All,39.34874671862272,303,0.8301369863013699
330,53,7,All,41.96960818050287,123,0.336986301369863
331,6,5,All,24.29960918719353,7350,20.136986301369863
332,11,22,All,38.507475728155356,1646,4.50958904109589
333,9,19,All,31.935632087606866,343,0.9397260273972603
334,9,1,All,41.65928277636243,184,0.5041095890410959
335,9,15,All,27.738368657525985,293,0.8027397260273973
336,9,20,All,34.14139296197184,387,1.0602739726027397
337,36,7,All,20.971359656769483,111,0.3041095890410959
338,36,10,All,31.22907496231328,367,1.0054794520547945
339,36,17,All,23.994727930132942,514,1.4082191780821918
340,36,22,All,39.07118319132456,248,0.6794520547945205
341,41,13,All,32.012544540262844,5874,16.09315068493151
342,41,11,All,35.16797581746848,6467,17.71780821917808
343,41,1,All,46.74309705671242,777,2.128767123287671
344,41,19,All,31.841528535397792,3853,10.556164383561644
345,41,4,All,35.80043008040358,256,0.7013698630136986
346,41,17,All,28.802727488534185,4425,12.123287671232877
347,41,2,All,43.48310432906735,547,1.4986301369863013
348,41,22,All,43.50402980085792,2689,7.367123287671233
349,67,8,All,27.82853824699374,156,0.4273972602739726
350,67,10,All,25.666006114118836,220,0.6027397260273972
351,41,18,All,28.8082291167237,4204,11.517808219178082
352,70,18,All,24.29880099916737,264,0.7232876712328767
353,70,8,All,28.494496003268882,187,0.5123287671232877
354,70,22,All,31.693584764966392,167,0.4575342465753425
355,13,22,All,27.094996480879818,816,2.2356164383561645
356,13,16,All,18.241018840483342,1415,3.8767123287671232
357,13,8,All,20.20080802353682,923,2.5287671232876714
358,13,12,All,18.63542719601402,1242,3.4027397260273973
359,13,17,All,17.86480786693665,1118,3.063013698630137
360,58,22,All,33.27970578741968,163,0.4465753424657534
361,64,20,All,34.0544549347483,259,0.7095890410958904
362,64,0,All,37.03042413066385,196,0.536986301369863
363,60,0,All,43.71844670481592,758,2.0767123287671234
364,60,19,All,24.784868651962718,1605,4.397260273972603
365,60,10,All,28.8409278974471,608,1.6657534246575343
366,60,12,All,24.40379909365559,920,2.5205479452054793
367,39,16,All,27.809589947125257,2193,6.008219178082192
368,5,13,All,26.520875196040553,3483,9.542465753424658
369,5,3,All,27.004278475664993,1685,4.616438356164384
370,5,14,All,27.49804001286728,4013,10.994520547945205
371,5,18,All,20.244474646007912,7400,20.273972602739725
372,5,5,All,29.407005966558597,1004,2.750684931506849
373,15,21,All,31.79246547394935,1851,5.071232876712329
374,69,23,All,46.4378271850877,383,1.0493150684931507
375,69,19,All,32.59041894631296,671,1.8383561643835618
376,69,9,All,30.72090083253101,622,1.704109589041096
377,69,18,All,25.685966236713522,733,2.0082191780821916
378,69,13,All,30.32821327118302,900,2.4657534246575343
379,28,3,All,23.094850617252924,9396,25.742465753424657
380,43,12,All,26.890370511717798,1139,3.1205479452054794
381,43,17,All,25.51689860384896,1206,3.304109589041096
382,43,16,All,27.72876465603879,1382,3.786301369863014
383,29,10,All,24.40688170780347,763,2.0904109589041098
384,29,13,All,26.110668393902625,671,1.8383561643835618
385,29,20,All,27.138326686456832,312,0.8547945205479452
386,29,1,All,29.753421702061875,174,0.4767123287671233
387,29,8,All,28.744808926907023,527,1.4438356164383561
388,29,19,All,22.29497058590343,427,1.16986301369863
389,29,9,All,25.24411743246098,683,1.8712328767123287
390,26,14,All,27.22567595445138,234,0.6410958904109589
391,26,9,All,36.34461387138107,179,0.4904109589041096
392,26,8,All,37.4991625113935,142,0.38904109589041097
393,26,15,All,27.690208008875054,248,0.6794520547945205
394,7,6,All,25.998988157632564,2775,7.602739726027397
395,7,5,All,27.2774556624434,3857,10.567123287671233
396,11,1,All,35.81848606346971,820,2.2465753424657535
397,11,11,All,34.010477031802125,1224,3.3534246575342466
398,14,1,All,28.095610782111493,2440,6.684931506849315
399,14,12,All,20.378864849292835,1650,4.52054794520548
400,37,15,All,29.570682860122844,370,1.0136986301369864
401,37,13,All,35.291776488153026,331,0.9068493150684932
402,30,16,All,22.731225888147833,428,1.1726027397260275
403,30,9,All,26.662769369238198,763,2.0904109589041098
404,30,15,All,21.778959838197054,416,1.1397260273972603
405,18,23,All,28.568481158778603,89,0.24383561643835616
406,42,15,All,26.387847280014736,1403,3.8438356164383563
407,42,20,All,28.754960153322777,701,1.9205479452054794
408,63,14,All,24.396902398805267,105,0.2876712328767123
409,56,13,All,31.18590694866041,11641,31.893150684931506
410,71,22,All,40.719740724539705,212,0.5808219178082191
411,71,16,All,23.59722945848375,639,1.7506849315068493
412,71,18,All,21.315426639308733,483,1.3232876712328767
413,71,15,All,22.757900877593464,552,1.5123287671232877
414,71,10,All,26.436917453191338,473,1.295890410958904
415,71,8,All,27.626633309506794,196,0.536986301369863
416,71,7,All,25.7585322446391,146,0.4
417,25,1,All,30.539346609177834,565,1.547945205479452
418,25,12,All,24.941696970312414,927,2.5397260273972604
419,25,19,All,24.22638401753688,1021,2.797260273972603
420,4,18,All,20.874953459105896,5452,14.936986301369863
421,4,8,All,21.037161817567085,2634,7.2164383561643834
422,4,3,All,23.93402458877861,1770,4.8493150684931505
423,4,11,All,21.32450677925153,3322,9.101369863013698
424,4,9,All,21.357578431602228,3301,9.043835616438356
425,4,2,All,26.758323614798645,2391,6.550684931506849
426,22,5,All,28.213048521698152,2444,6.695890410958904
427,22,3,All,25.874321854585652,5290,14.493150684931507
428,22,1,All,28.557226708348423,7474,20.476712328767125
429,22,9,All,25.98780561806639,2436,6.673972602739726
430,22,13,All,25.46411120176718,4937,13.526027397260274
431,22,11,All,28.18629617972135,3944,10.805479452054794
432,77,15,All,25.324592256918514,8709,23.86027397260274
433,77,17,All,23.567336114398817,8871,24.304109589041097
434,77,8,All,19.74691479198342,3881,10.632876712328768
435,77,22,All,31.424591947475626,8550,23.424657534246574
436,77,5,All,19.777206792950047,2832,7.758904109589041
437,77,9,All,19.92678426701304,4586,12.564383561643835
438,77,6,All,18.989031854484498,2601,7.126027397260274
439,39,8,All,32.91349557784769,540,1.4794520547945205
440,39,20,All,34.9094296241735,1794,4.9150684931506845
441,39,2,All,42.15535541209213,353,0.9671232876712329
442,39,15,All,30.393845111123657,2083,5.706849315068493
443,39,0,All,42.74559271141823,750,2.0547945205479454
444,39,14,All,29.63446405811547,1910,5.232876712328767
445,31,13,All,25.064592707606977,1651,4.523287671232877
446,35,15,All,18.797155333077033,3202,8.772602739726027
447,35,19,All,19.248407454801843,2808,7.693150684931507
448,35,8,All,17.015585409873164,1728,4.734246575342466
449,35,20,All,23.56376755197493,2244,6.147945205479452
450,75,20,All,42.772479211579935,203,0.5561643835616439
451,75,19,All,40.848177720540896,280,0.7671232876712328
452,34,3,All,32.85938030540421,390,1.0684931506849316
453,34,23,All,34.402587089201596,993,2.7205479452054795
454,34,22,All,30.527359312540398,1307,3.580821917808219
455,34,9,All,25.830487523006468,1152,3.1561643835616437
456,34,17,All,19.324624282268957,3109,8.517808219178082
457,34,20,All,26.707417944030585,2249,6.161643835616438
458,74,20,All,39.98556477042817,63,0.1726027397260274
459,74,17,All,30.63908640788218,87,0.23835616438356164
460,45,18,All,26.410703373568044,169,0.46301369863013697
461,45,10,All,29.857380873248367,210,0.5753424657534246
462,61,1,All,36.711730072630324,142,0.38904109589041097
463,61,15,All,31.85661208958737,496,1.358904109589041
464,61,0,All,36.23936870389417,187,0.5123287671232877
465,61,18,All,22.79424405271791,333,0.9123287671232877
466,11,12,All,33.87486466746889,1407,3.8547945205479452
467,14,6,All,16.95925370789023,787,2.1561643835616437
468,14,2,All,27.48785330436771,2730,7.47945205479452
469,14,10,All,20.363310289023186,1316,3.6054794520547944
470,29,16,All,20.271947937060574,618,1.6931506849315068
471,41,12,All,34.69546191603893,6162,16.882191780821916
472,3,8,All,14.969363105568714,6124,16.778082191780822
473,5,15,All,25.936824172361714,4560,12.493150684931507
474,11,20,All,37.92858298028422,2009,5.504109589041096
475,46,13,All,25.6569553729249,432,1.1835616438356165
476,6,3,All,23.09174382832638,18948,51.912328767123284
477,31,3,All,29.39308912944702,1073,2.9397260273972603
478,2,23,All,25.302295736750846,3333,9.131506849315068
479,2,12,All,16.649141596499618,3399,9.312328767123288
480,2,11,All,15.881384850556856,3400,9.315068493150685
481,58,12,All,28.369337475565494,347,0.9506849315068493
482,56,10,All,35.37733130699469,8774,24.03835616438356
483,64,9,All,35.27619825490217,197,0.5397260273972603
484,11,3,All,35.01635224441358,437,1.1972602739726028
485,11,16,All,21.639505308807216,1838,5.035616438356165
486,11,8,All,27.80401628853986,821,2.249315068493151
487,51,11,All,37.55802592848756,224,0.6136986301369863
488,51,19,All,33.98356360526967,145,0.3972602739726027
489,48,0,All,37.117669335559526,36,0.09863013698630137
490,43,9,All,24.169635054831016,695,1.904109589041096
491,43,21,All,30.57382523265926,689,1.8876712328767122
492,42,19,All,28.022273326162203,833,2.282191780821918
493,39,7,All,21.00375085781876,325,0.8904109589041096
494,36,21,All,33.544547576345735,348,0.9534246575342465
495,44,7,All,18.269485214663703,391,1.0712328767123287
496,69,3,All,39.4053799271079,110,0.3013698630136986
497,69,6,All,24.053875666803453,220,0.6027397260273972
498,38,21,All,30.162887922451727,790,2.164383561643836
499,38,0,All,34.27498600144774,439,1.2027397260273973
500,35,13,All,20.557940150427637,3013,8.254794520547945
501,34,21,All,28.525558110920084,1668,4.5698630136986305
502,34,7,All,39.855057264852,601,1.6465753424657534
503,34,10,All,26.790012257481386,1587,4.347945205479452
504,68,22,All,39.76672807966283,158,0.4328767123287671
505,60,21,All,32.74237349249354,1117,3.0602739726027397
506,60,9,All,23.828398739634732,534,1.463013698630137
507,60,16,All,23.381326584765358,1238,3.3917808219178083
508,60,18,All,21.944651342432564,1546,4.235616438356164
509,73,19,All,34.42755868676313,330,0.9041095890410958
510,7,4,All,20.968150862343535,7314,20.03835616438356
511,77,23,All,30.962998142598064,7678,21.035616438356165
512,67,9,All,25.97997060264576,184,0.5041095890410959
513,75,6,All,33.01444220201819,69,0.18904109589041096
