"","X.1","X","ï..","trip_date","time_indicator","trips","Weekday","Holiday","Season","Day_of_Week","Month","taxi_id","Distance"
"56",56,56,1410,"2019-01-14","AM Period",10366,"WEEKDAY",0,"Winter","Mon","Jan",2251,56486.464
"57",57,57,154,"2019-01-15","Lunch Period",10295,"WEEKDAY",0,"Winter","Tue","Jan",2495,47878.144
"58",58,58,516,"2019-01-15","PM Period",19119,"WEEKDAY",0,"Winter","Tue","Jan",3210,93890.384
"59",59,59,836,"2019-01-15","AM Period",10890,"WEEKDAY",0,"Winter","Tue","Jan",2167,49217.44
"60",60,60,1419,"2019-01-15","Night",7513,"WEEKDAY",0,"Winter","Tue","Jan",2044,49238.416
"61",61,61,53,"2019-01-16","AM Period",11291,"WEEKDAY",0,"Winter","Wed","Jan",2169,52007.984
"62",62,62,55,"2019-01-16","PM Period",19884,"WEEKDAY",0,"Winter","Wed","Jan",3235,103495.952
"63",63,63,166,"2019-01-16","Night",8302,"WEEKDAY",0,"Winter","Wed","Jan",2146,54585.92
"64",64,64,887,"2019-01-16","Lunch Period",10814,"WEEKDAY",0,"Winter","Wed","Jan",2542,50799.792
"65",65,65,420,"2019-01-17","AM Period",11135,"WEEKDAY",0,"Winter","Thu","Jan",2138,49834.784
"66",66,66,518,"2019-01-17","PM Period",20576,"WEEKDAY",0,"Winter","Thu","Jan",3328,112345.616
"67",67,67,719,"2019-01-17","Lunch Period",11089,"WEEKDAY",0,"Winter","Thu","Jan",2547,51777.792
"68",68,68,1146,"2019-01-17","Night",9876,"WEEKDAY",0,"Winter","Thu","Jan",2307,70868.944
"69",69,69,2,"2019-01-18","PM Period",20023,"WEEKDAY",0,"Winter","Fri","Jan",3171,97969.568
"70",70,70,255,"2019-01-18","Night",9475,"WEEKDAY",0,"Winter","Fri","Jan",2151,49905.2
"71",71,71,376,"2019-01-18","Lunch Period",10986,"WEEKDAY",0,"Winter","Fri","Jan",2653,59296.704
"72",72,72,1349,"2019-01-18","AM Period",10387,"WEEKDAY",0,"Winter","Fri","Jan",2088,52419.328
"73",73,73,577,"2019-01-19","Night",11019,"WEEKEND",0,"Winter","Sat","Jan",1652,44550.144
"74",74,74,667,"2019-01-19","AM Period",3241,"WEEKEND",0,"Winter","Sat","Jan",782,18764.16
"75",75,75,717,"2019-01-19","Lunch Period",4335,"WEEKEND",0,"Winter","Sat","Jan",1139,19909.552
"76",76,76,888,"2019-01-19","PM Period",9926,"WEEKEND",0,"Winter","Sat","Jan",1922,40167.344
"77",77,77,258,"2019-01-20","AM Period",3727,"WEEKEND",0,"Winter","Sun","Jan",1109,23921.984
"78",78,78,261,"2019-01-20","Night",10464,"WEEKEND",0,"Winter","Sun","Jan",1721,60135.392
"79",79,79,726,"2019-01-20","PM Period",7998,"WEEKEND",0,"Winter","Sun","Jan",2065,54682.624
"80",80,80,1412,"2019-01-20","Lunch Period",4483,"WEEKEND",0,"Winter","Sun","Jan",1368,24495.952
"81",81,81,320,"2019-01-21","Night",6131,"WEEKDAY",1,"Winter","Mon","Jan",1816,50794.848
"82",82,82,883,"2019-01-21","AM Period",6509,"WEEKDAY",1,"Winter","Mon","Jan",1635,37007.744
"83",83,83,1096,"2019-01-21","PM Period",12214,"WEEKDAY",1,"Winter","Mon","Jan",2803,85188.56
"84",84,84,1111,"2019-01-21","Lunch Period",6427,"WEEKDAY",1,"Winter","Mon","Jan",2135,39192.064
"85",85,85,159,"2019-01-22","PM Period",20044,"WEEKDAY",0,"Winter","Tue","Jan",3114,84527.136
