,dropoff_community_area,dropoff_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
82,6,LAKE VIEW,10,Weekdays,25.80471894,12602,108.637931
83,6,LAKE VIEW,14,Weekdays,25.57253684,20925,180.387931
84,77,EDGEWATER,19,Weekdays,26.30546457,7369,63.52586207
85,77,EDGEWATER,12,Weekdays,24.53866775,5195,44.78448276
86,77,EDGEWATER,3,Weekend/Holidays,24.67214339,2155,18.57758621
87,5,NORTH CENTER,17,Weekdays,18.80176655,5110,44.05172414
88,5,NORTH CENTER,10,Weekdays,27.07269088,1785,15.38793103
89,16,IRVING PARK,12,Weekdays,24.72643923,2371,20.43965517
90,25,AUSTIN,7,Weekdays,30.90903328,420,3.620689655
91,56,GARFIELD RIDGE,21,Weekdays,23.21429472,1852,15.96551724
92,10,NORWOOD PARK,14,Weekdays,29.97882311,1219,10.50862069
93,10,NORWOOD PARK,21,Weekdays,34.49154708,1309,11.28448276
94,76,OHARE,14,Weekdays,30.58847821,35321,304.4913793
95,76,OHARE,8,Weekdays,29.49887809,20632,177.862069
96,76,OHARE,6,Weekdays,36.15176643,29100,250.862069
97,1,ROGERS PARK,17,Weekend/Holidays,22.52217332,979,8.439655172
98,1,ROGERS PARK,19,Weekdays,24.91256511,2729,23.52586207
99,24,WEST TOWN,22,Weekdays,26.49001226,24012,207
100,24,WEST TOWN,17,Weekend/Holidays,21.95510672,6716,57.89655172
101,24,WEST TOWN,10,Weekdays,24.19316535,7710,66.46551724
102,24,WEST TOWN,23,Weekdays,25.63916605,19558,168.6034483
103,22,LOGAN SQUARE,15,Weekdays,22.59179122,5112,44.06896552
104,22,LOGAN SQUARE,21,Weekdays,32.88830158,9747,84.02586207
105,22,LOGAN SQUARE,16,Weekend/Holidays,25.06749931,2027,17.47413793
106,21,AVONDALE,9,Weekdays,22.28640518,1316,11.34482759
107,21,AVONDALE,19,Weekend/Holidays,25.83763046,687,5.922413793
108,27,EAST GARFIELD PARK,10,Weekdays,25.9752778,699,6.025862069
109,5,NORTH CENTER,19,Weekend/Holidays,28.1535881,1655,14.26724138
110,19,BELMONT CRAGIN,5,Weekend/Holidays,24.94747664,279,2.405172414
111,21,AVONDALE,6,Weekdays,27.38132352,511,4.405172414
112,41,HYDE PARK,11,Weekend/Holidays,35.53389729,1795,15.47413793
113,69,GREATER GRAND CROSSING,12,Weekdays,31.34040059,661,5.698275862
114,40,WASHINGTON PARK,17,Weekend/Holidays,27.09850598,88,0.75862069
115,14,ALBANY PARK,21,Weekend/Holidays,25.99090822,678,5.844827586
116,3,UPTOWN,18,Weekend/Holidays,22.94107985,3304,28.48275862
117,3,UPTOWN,11,Weekend/Holidays,23.1182306,2225,19.18103448
118,6,LAKE VIEW,3,Weekdays,24.9365854,4857,41.87068966
119,6,LAKE VIEW,0,Weekdays,31.08709936,13083,112.7844828
120,6,LAKE VIEW,6,Weekend/Holidays,27.04362553,1586,13.67241379
121,77,EDGEWATER,23,Weekend/Holidays,30.49119313,2366,20.39655172
122,1,ROGERS PARK,10,Weekdays,24.6138167,1894,16.32758621
123,4,LINCOLN SQUARE,2,Weekend/Holidays,24.51545212,1259,10.85344828
124,50,PULLMAN,14,Weekdays,28.77320206,203,1.75
125,41,HYDE PARK,14,Weekdays,31.8811526,4204,36.24137931
126,33,NEAR SOUTH SIDE,19,Weekend/Holidays,22.71997784,7087,61.09482759
127,76,OHARE,13,Weekend/Holidays,29.80801074,8901,76.73275862
128,14,ALBANY PARK,1,Weekdays,24.72409932,1315,11.3362069
129,41,HYDE PARK,21,Weekend/Holidays,43.75869215,754,6.5
130,3,UPTOWN,13,Weekend/Holidays,21.98324113,2429,20.93965517
131,3,UPTOWN,18,Weekdays,21.35550711,9398,81.01724138
132,8,NEAR NORTH SIDE,9,Weekend/Holidays,27.86050287,27220,234.6551724
133,28,NEAR WEST SIDE,23,Weekend/Holidays,21.62573698,10321,88.97413793
134,28,NEAR WEST SIDE,22,Weekend/Holidays,23.56385389,11903,102.612069
135,28,NEAR WEST SIDE,12,Weekend/Holidays,19.45203359,15355,132.3706897
136,28,NEAR WEST SIDE,22,Weekdays,21.43387718,38470,331.637931
137,31,LOWER WEST SIDE,3,Weekend/Holidays,28.59643794,672,5.793103448
138,76,OHARE,6,Weekend/Holidays,47.80995016,8571,73.88793103
139,32,LOOP,5,Weekend/Holidays,24.27684293,3577,30.8362069
140,32,LOOP,21,Weekend/Holidays,27.4620182,26239,226.1982759
141,34,ARMOUR SQUARE,10,Weekdays,27.96902998,1146,9.879310345
142,60,BRIDGEPORT,10,Weekdays,27.38707669,519,4.474137931
143,60,BRIDGEPORT,22,Weekdays,29.92062545,836,7.206896552
144,7,LINCOLN PARK,5,Weekdays,33.59266777,1475,12.71551724
145,7,LINCOLN PARK,10,Weekdays,23.72572375,10748,92.65517241
146,7,LINCOLN PARK,21,Weekend/Holidays,27.85898513,9542,82.25862069
147,7,LINCOLN PARK,9,Weekend/Holidays,30.09792638,3640,31.37931034
148,7,LINCOLN PARK,16,Weekend/Holidays,21.87899352,9891,85.26724138
149,7,LINCOLN PARK,8,Weekend/Holidays,28.68306093,2106,18.15517241
150,6,LAKE VIEW,20,Weekend/Holidays,27.65352269,9856,84.96551724
151,6,LAKE VIEW,16,Weekend/Holidays,23.38109568,9308,80.24137931
152,6,LAKE VIEW,13,Weekend/Holidays,23.66663108,8357,72.04310345
153,77,EDGEWATER,4,Weekdays,22.66426272,1519,13.09482759
154,77,EDGEWATER,11,Weekend/Holidays,23.88585952,1903,16.40517241
