,pickup_community_area,pickup area ,dropoff_community_area,dropoff area,trip_indicator,avg_km,avg_tm,avg_fares,avg_tolls,avg_tips,avg_extras,avg_total_fares,trips
49,1,Rogers Park,43,South Shore,Inter-Area,28.68784964,44.3919708,46.65328467,0,0.158394161,0.02189781,46.84452555,137
50,1,Rogers Park,37,Fuller Park,Inter-Area,26.20732745,36.25816993,42.43627451,0,0,0.019607843,42.45588235,51
51,1,Rogers Park,76,O'Hare,Inter-Area,19.1947736,42.6133567,38.68870327,0,3.785338785,0.618516355,43.24358061,1712
52,1,Rogers Park,10,Norwood Park,Inter-Area,10.20072793,26.81291291,23.80630631,0,0.834774775,0.635135135,25.35684685,111
53,1,Rogers Park,48,Calumet Heights,Inter-Area,19.29137778,45.04444444,37.36111111,0,0,0.222222222,37.58333333,9
54,1,Rogers Park,40,Washington Park,Inter-Area,22.17936,45.60666667,46.2,0,0,0,46.2,5
55,1,Rogers Park,58,Brighton Park,Inter-Area,18.15704333,44.6,40.03533333,0,0.375,0.183333333,40.59366667,30
56,1,Rogers Park,63,Gage Park,Inter-Area,26.78396,46.30333333,44.2,0,0,0,44.2,5
57,1,Rogers Park,26,West Garfield Park,Inter-Area,19.40173846,37.32435897,38.01923077,0,0.230769231,0.153846154,38.44230769,13
58,1,Rogers Park,7,Lincoln Park,Inter-Area,9.105302146,24.42314815,20.68491162,0,1.210959596,0.303030303,22.28400253,792
59,1,Rogers Park,44,Chatham,Inter-Area,31.97374133,43.43711111,51.19,0,0,0.04,51.23,75
60,1,Rogers Park,65,West Lawn,Inter-Area,24.60372727,54.06212121,40.63636364,0,0.272727273,0.090909091,41.04545455,11
61,1,Rogers Park,18,Montclare,Inter-Area,15.86386667,50.42777778,39.58333333,0,2.533333333,0.833333333,43.11666667,3
62,1,Rogers Park,64,Clearing,Inter-Area,26.8709,47.77291667,57.28125,0,3.5,0.125,61.2125,8
63,1,Rogers Park,73,Washington Heights,Inter-Area,24.8556,72.18188406,43.55978261,0,0,0.043478261,43.60326087,46
64,1,Rogers Park,24,West Town,Inter-Area,13.31109427,37.15833333,26.37630208,0,1.079322917,0.244791667,27.77971354,384
65,1,Rogers Park,53,West Pullman,Inter-Area,30.05970625,60.540625,52.421875,0,0,0,52.421875,16
66,1,Rogers Park,8,Near North Side,Inter-Area,11.12588332,26.81481028,24.07350979,2.14E-05,1.512573439,0.270960832,25.96477662,3268
67,1,Rogers Park,16,Irving Park,Inter-Area,8.359654363,25.50877444,19.0944206,0,0.334277539,0.326895565,19.77061516,699
68,1,Rogers Park,21,Avondale,Inter-Area,9.701740741,32.09728395,21.55185185,0,0.651703704,0.451851852,22.69614815,135
69,1,Rogers Park,29,North Lawndale,Inter-Area,19.726686,45.029,38.34,0,2.7236,0.26,41.4036,50
70,1,Rogers Park,51,South Deering,Inter-Area,40.51082,58.93,64.8,0,0,0,64.8,5
71,1,Rogers Park,17,Dunning,Inter-Area,12.78624118,30.12745098,25.97058824,0,0,0.941176471,26.91176471,17
72,1,Rogers Park,57,Archer Heights,Inter-Area,22.09564,39.35666667,35.66666667,0,0.893333333,0.3,36.89333333,15
73,1,Rogers Park,41,Hyde Park,Inter-Area,25.36543973,37.67808219,42.85616438,0,1.444246575,0.267123288,44.64972603,73
74,1,Rogers Park,62,West Elsdon,Inter-Area,28.6902,47.6,45.85714286,0,1.628571429,0,47.48571429,7
75,1,Rogers Park,55,Hegewisch,Inter-Area,42.021,63.18333333,65.5,0,0,0,65.5,1
76,2,West Ridge,77,Edgewater,Inter-Area,2.514595426,11.2587453,8.773788718,0,0.272065641,0.141150769,9.228164103,4875
77,2,West Ridge,28,Near West Side,Inter-Area,13.71920311,38.68628823,28.50583204,0,1.113545879,0.330482115,30.05919129,643
78,2,West Ridge,21,Avondale,Inter-Area,7.215441796,24.35227038,17.62613003,0,0.386160991,0.588235294,18.63148607,323
79,2,West Ridge,36,Oakland,Inter-Area,23.8266,33.78623188,40.23913043,0,0.467391304,0,40.79130435,23
80,2,West Ridge,9,Edison Park,Inter-Area,7.720755,23.2025,19.175,0,0.2925,0.1,19.5675,20
81,2,West Ridge,66,Chicago Lawn,Inter-Area,31.205825,58.60833333,51.6875,0,0,0,51.6875,24
