,date,median_downtime,company,day,weekday,time_bin,month,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab
38,2019-01-10,15.0,Blue Ribbon Taxi Association Inc.,3,1,3,1,Winter,0,11.620943152454782,124,6.241935483870968,72.53717741935485
39,2019-01-10,15.0,Blue Ribbon Taxi Association Inc.,3,1,4,1,Winter,0,12.280777537796975,106,4.367924528301887,53.64150943396226
40,2019-01-11,15.0,Blue Ribbon Taxi Association Inc.,4,1,1,1,Winter,0,10.700273972602739,72,5.069444444444445,54.24444444444444
41,2019-01-11,15.0,Blue Ribbon Taxi Association Inc.,4,1,2,1,Winter,0,10.160963541666666,88,4.363636363636363,44.33875
42,2019-01-11,15.0,Blue Ribbon Taxi Association Inc.,4,1,3,1,Winter,0,10.291154328732746,128,6.2265625,64.078515625
43,2019-01-11,15.0,Blue Ribbon Taxi Association Inc.,4,1,4,1,Winter,0,11.051470588235293,106,4.811320754716981,53.17216981132076
44,2019-01-12,30.0,Blue Ribbon Taxi Association Inc.,5,0,1,1,Winter,0,12.268333333333333,53,2.830188679245283,34.721698113207545
45,2019-01-12,30.0,Blue Ribbon Taxi Association Inc.,5,0,2,1,Winter,0,11.37378640776699,62,3.3225806451612905,37.79032258064516
46,2019-01-12,30.0,Blue Ribbon Taxi Association Inc.,5,0,3,1,Winter,0,10.736751152073733,88,4.931818181818182,52.95170454545455
47,2019-01-12,15.0,Blue Ribbon Taxi Association Inc.,5,0,4,1,Winter,0,9.226984126984126,93,6.774193548387097,62.505376344086024
48,2019-01-13,30.0,Blue Ribbon Taxi Association Inc.,6,0,1,1,Winter,0,12.174242424242424,48,3.4375,41.848958333333336
49,2019-01-13,45.0,Blue Ribbon Taxi Association Inc.,6,0,2,1,Winter,0,12.0,58,2.689655172413793,32.275862068965516
50,2019-01-13,30.0,Blue Ribbon Taxi Association Inc.,6,0,3,1,Winter,0,13.695512820512821,86,3.627906976744186,49.68604651162791
51,2019-01-13,15.0,Blue Ribbon Taxi Association Inc.,6,0,4,1,Winter,0,11.476215644820297,86,5.5,63.11918604651163
52,2019-01-14,15.0,Blue Ribbon Taxi Association Inc.,0,1,1,1,Winter,0,12.231620111731845,85,4.211764705882353,51.516705882352944
53,2019-01-14,30.0,Blue Ribbon Taxi Association Inc.,0,1,2,1,Winter,0,11.854823943661971,90,3.1555555555555554,37.40855555555556
54,2019-01-14,15.0,Blue Ribbon Taxi Association Inc.,0,1,3,1,Winter,0,10.51928,115,5.434782608695652,57.169999999999995
55,2019-01-14,30.0,Blue Ribbon Taxi Association Inc.,0,1,4,1,Winter,0,11.083850931677018,85,3.788235294117647,41.98823529411764
56,2019-01-15,15.0,Blue Ribbon Taxi Association Inc.,1,1,1,1,Winter,0,10.20212034383954,79,4.417721518987341,45.07012658227848
57,2019-01-15,15.0,Blue Ribbon Taxi Association Inc.,1,1,2,1,Winter,0,9.629698795180722,84,3.9523809523809526,38.06023809523809
58,2019-01-15,15.0,Blue Ribbon Taxi Association Inc.,1,1,3,1,Winter,0,10.914930362116994,112,6.410714285714286,69.9725
59,2019-01-15,30.0,Blue Ribbon Taxi Association Inc.,1,1,4,1,Winter,0,12.023087071240106,95,3.9894736842105263,47.96578947368421
60,2019-01-16,15.0,Blue Ribbon Taxi Association Inc.,2,1,1,1,Winter,0,10.584250614250612,82,4.963414634146342,52.5340243902439
61,2019-01-16,15.0,Blue Ribbon Taxi Association Inc.,2,1,2,1,Winter,0,11.339905362776026,87,3.6436781609195403,41.31896551724138
62,2019-01-16,15.0,Blue Ribbon Taxi Association Inc.,2,1,3,1,Winter,0,11.508445078459346,115,6.095652173913043,70.15147826086957
