,date,median_downtime,company,weekday,season,holiday,fare,num_cabs,trips_per_cab,earnings_per_cab,distance
350,17/12/2019,60,Blue Ribbon Taxi Association Inc.,1,Autumn,0,17.05760369,80,5.425,92.5375,0.976958525
351,18/12/2019,45,Blue Ribbon Taxi Association Inc.,1,Autumn,0,17.34481038,82,6.109756098,105.972561,1.041117764
352,19/12/2019,45,Blue Ribbon Taxi Association Inc.,1,Autumn,0,16.45260223,81,6.641975309,109.2777778,0.84936803
353,20/12/2019,52.5,Blue Ribbon Taxi Association Inc.,1,Autumn,0,15.42655642,83,6.192771084,95.53313253,0.69540856
354,21/12/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,14.87096774,66,5.166666667,76.83333333,0.571026393
355,22/12/2019,60,Blue Ribbon Taxi Association Inc.,0,Winter,0,15.63348765,63,5.142857143,80.40079365,0.868641975
356,23/12/2019,60,Blue Ribbon Taxi Association Inc.,1,Winter,0,16.02195946,63,4.698412698,75.27777778,0.802162162
357,24/12/2019,105,Blue Ribbon Taxi Association Inc.,1,Winter,0,15.52463054,60,3.383333333,52.525,0.733004926
358,25/12/2019,210,Blue Ribbon Taxi Association Inc.,1,Winter,1,22.04891304,38,2.421052632,53.38157895,0.793043478
359,26/12/2019,135,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.34482759,60,3.866666667,70.93333333,1.229655172
360,27/12/2019,90,Blue Ribbon Taxi Association Inc.,1,Winter,0,18.17193676,62,4.080645161,74.15322581,1.204110672
361,28/12/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,17.87200957,49,4.265306122,76.22959184,0.745645933
362,29/12/2019,90,Blue Ribbon Taxi Association Inc.,0,Winter,0,18.79587156,51,4.274509804,80.34313725,0.953394495
363,30/12/2019,105,Blue Ribbon Taxi Association Inc.,1,Winter,0,16.88436123,60,3.783333333,63.87916667,0.817621145
364,1/1/2019,15,Chicago Carriage Cab Corp,1,Winter,1,14.78954977,293,8.262798635,122.2030717,7.38124081
365,2/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,12.42423863,397,9.246851385,114.8850882,5.731273223
366,3/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,11.85240892,419,10.80906921,128.1135084,5.268843453
367,4/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,11.67020404,419,11.22911695,131.0460859,5.05573135
368,5/1/2019,45,Chicago Carriage Cab Corp,0,Winter,0,13.12174658,382,7.643979058,100.302356,6.145205479
369,6/1/2019,30,Chicago Carriage Cab Corp,0,Winter,0,16.77726911,343,7.32361516,122.8702624,8.781407643
370,7/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,12.41051975,419,10.51551313,130.5029833,5.644266909
371,8/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,11.61811518,425,11.23529412,130.5329412,5.069976126
372,9/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,11.80995825,435,12.66436782,149.5656552,5.16949283
373,10/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.44707153,428,13.19626168,164.2548131,5.665764873
374,11/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,11.66290271,429,13.22610723,154.2548019,5.093529785
375,12/1/2019,30,Chicago Carriage Cab Corp,0,Winter,0,12.02722692,343,8.967930029,107.8593294,5.511693108
376,13/1/2019,45,Chicago Carriage Cab Corp,0,Winter,0,15.77062589,328,6.429878049,101.4032012,8.140434329
377,14/1/2019,30,Chicago Carriage Cab Corp,1,Winter,0,12.60101396,432,10.61574074,133.7690972,5.847267335
378,15/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.06730629,424,12.32783019,148.7637028,5.425946815
379,16/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.05226948,434,12.89400922,155.4020737,5.371674053
380,17/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.81350629,435,12.9816092,166.339931,5.874385692
381,18/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.33977766,428,13.03037383,160.7919159,5.599013089
382,19/1/2019,15,Chicago Carriage Cab Corp,0,Winter,0,10.76116441,307,9.846905537,105.9641694,4.674704598
383,20/1/2019,30,Chicago Carriage Cab Corp,0,Winter,0,14.03451797,317,7.722397476,108.3801262,6.97372549
384,21/1/2019,30,Chicago Carriage Cab Corp,1,Winter,1,14.45997001,402,8.2960199,119.960199,7.205728336
385,22/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,11.60328553,420,13.11666667,152.1964286,5.068517698
386,23/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.16795075,424,13.12028302,159.6469575,5.461047636
387,24/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.45750164,427,14.2763466,177.8476112,5.650188976
388,25/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.28716635,433,13.48036952,165.6355427,5.246538976
389,26/1/2019,30,Chicago Carriage Cab Corp,0,Winter,0,12.17601166,346,8.427745665,102.6163295,5.576170096
390,27/1/2019,30,Chicago Carriage Cab Corp,0,Winter,0,16.42850311,317,6.596214511,108.3659306,8.643481588
391,28/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,12.00275947,417,10.69784173,128.4036211,5.326321453
392,29/1/2019,15,Chicago Carriage Cab Corp,1,Winter,0,11.64995319,422,12.1492891,141.5386493,4.92038229
393,30/1/2019,45,Chicago Carriage Cab Corp,1,Winter,0,14.88219077,269,6.040892193,89.90171004,7.484337231
