,pickup_community_area,pickup_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
85,21,AVONDALE,12,Weekdays,14.51355913,1709,14.73275862
86,32,LOOP,21,Weekdays,20.19873628,131919,1137.232759
87,8,NEAR NORTH SIDE,22,Weekdays,17.39200596,136379,1175.681034
88,32,LOOP,10,Weekend/Holidays,26.5999365,28484,245.5517241
89,8,NEAR NORTH SIDE,18,Weekend/Holidays,15.03169048,78021,672.5948276
90,7,LINCOLN PARK,22,Weekdays,16.16678885,10811,93.19827586
91,33,NEAR SOUTH SIDE,8,Weekdays,19.69327839,12774,110.1206897
92,76,OHARE,22,Weekend/Holidays,44.28184622,16602,143.1206897
93,8,NEAR NORTH SIDE,11,Weekend/Holidays,23.58564139,53372,460.1034483
94,6,LAKE VIEW,16,Weekdays,16.36622712,13756,118.5862069
95,6,LAKE VIEW,2,Weekend/Holidays,21.52887159,15124,130.3793103
96,16,IRVING PARK,14,Weekdays,17.55459747,2203,18.99137931
97,6,LAKE VIEW,21,Weekend/Holidays,17.24614786,8249,71.11206897
98,3,UPTOWN,19,Weekdays,15.01374968,4052,34.93103448
99,77,EDGEWATER,19,Weekend/Holidays,18.78759975,1395,12.02586207
100,1,ROGERS PARK,5,Weekend/Holidays,19.31796842,1977,17.04310345
101,76,OHARE,20,Weekdays,38.79971344,79172,682.5172414
102,16,IRVING PARK,15,Weekend/Holidays,18.03814909,660,5.689655172
103,11,JEFFERSON PARK,10,Weekdays,24.01052187,888,7.655172414
104,76,OHARE,16,Weekdays,23.93925008,53935,464.9568966
105,10,NORWOOD PARK,13,Weekend/Holidays,23.82521014,147,1.267241379
106,32,LOOP,5,Weekdays,47.3310039,12139,104.6465517
107,77,EDGEWATER,2,Weekdays,15.10065285,855,7.370689655
108,56,GARFIELD RIDGE,18,Weekend/Holidays,35.76024251,4622,39.84482759
109,22,LOGAN SQUARE,19,Weekend/Holidays,19.5467393,702,6.051724138
110,21,AVONDALE,21,Weekdays,17.11671245,618,5.327586207
111,22,LOGAN SQUARE,13,Weekdays,18.39387473,1423,12.26724138
112,14,ALBANY PARK,13,Weekend/Holidays,24.04996524,344,2.965517241
113,14,ALBANY PARK,0,Weekdays,16.25587003,840,7.24137931
114,41,HYDE PARK,15,Weekend/Holidays,28.32381672,1717,14.80172414
115,41,HYDE PARK,17,Weekdays,20.45415037,3178,27.39655172
116,41,HYDE PARK,5,Weekend/Holidays,34.11563341,97,0.836206897
117,3,UPTOWN,4,Weekdays,35.40392104,1131,9.75
118,3,UPTOWN,1,Weekend/Holidays,21.49238152,2476,21.34482759
119,3,UPTOWN,10,Weekdays,22.94752223,7000,60.34482759
120,3,UPTOWN,22,Weekend/Holidays,21.25023712,1986,17.12068966
121,3,UPTOWN,4,Weekend/Holidays,19.43901197,1245,10.73275862
122,3,UPTOWN,5,Weekdays,35.23529975,1801,15.52586207
123,3,UPTOWN,3,Weekdays,23.37295061,1176,10.13793103
124,3,UPTOWN,21,Weekend/Holidays,19.21606246,1599,13.78448276
125,3,UPTOWN,2,Weekdays,18.09485561,1251,10.78448276
126,3,UPTOWN,14,Weekend/Holidays,17.71929432,2147,18.50862069
127,3,UPTOWN,0,Weekdays,16.30771118,2214,19.0862069
128,33,NEAR SOUTH SIDE,20,Weekend/Holidays,17.31674865,5324,45.89655172
129,33,NEAR SOUTH SIDE,14,Weekdays,22.48736358,22788,196.4482759
130,33,NEAR SOUTH SIDE,3,Weekend/Holidays,28.09721295,559,4.818965517
131,8,NEAR NORTH SIDE,5,Weekdays,44.31089908,21918,188.9482759
132,7,LINCOLN PARK,18,Weekdays,13.79552792,11765,101.4224138
133,7,LINCOLN PARK,17,Weekdays,14.15824829,10238,88.25862069
134,6,LAKE VIEW,8,Weekdays,19.19407901,19768,170.4137931
135,28,NEAR WEST SIDE,6,Weekend/Holidays,33.23974181,1768,15.24137931
136,31,LOWER WEST SIDE,17,Weekend/Holidays,17.19946883,112,0.965517241
137,24,WEST TOWN,1,Weekend/Holidays,19.03749889,6111,52.68103448
138,2,WEST RIDGE,12,Weekend/Holidays,17.29874363,814,7.017241379
139,2,WEST RIDGE,7,Weekdays,22.98322299,2738,23.60344828
140,2,WEST RIDGE,9,Weekdays,15.42602764,2983,25.71551724
141,2,WEST RIDGE,4,Weekdays,27.62374988,741,6.387931034
142,30,SOUTH LAWNDALE,10,Weekdays,25.25722801,147,1.267241379
143,56,GARFIELD RIDGE,8,Weekend/Holidays,40.55956116,1565,13.49137931
144,56,GARFIELD RIDGE,15,Weekend/Holidays,31.20699889,4205,36.25
145,56,GARFIELD RIDGE,13,Weekend/Holidays,33.53846405,4608,39.72413793
146,56,GARFIELD RIDGE,10,Weekdays,32.61557181,10127,87.30172414
147,56,GARFIELD RIDGE,12,Weekend/Holidays,34.52133601,3532,30.44827586
148,56,GARFIELD RIDGE,14,Weekdays,33.48896116,12923,111.4051724
149,11,JEFFERSON PARK,13,Weekdays,18.03171591,916,7.896551724
150,48,CALUMET HEIGHTS,13,Weekdays,28.04192849,173,1.49137931
151,43,SOUTH SHORE,10,Weekdays,25.39382901,886,7.637931034
152,43,SOUTH SHORE,15,Weekdays,16.93518999,638,5.5
153,45,AVALON PARK,15,Weekdays,23.39552755,109,0.939655172
154,45,AVALON PARK,10,Weekdays,28.29633462,165,1.422413793
155,36,OAKLAND,7,Weekdays,28.42113542,126,1.086206897
156,44,CHATHAM,6,Weekdays,37.78168788,424,3.655172414
157,44,CHATHAM,7,Weekdays,26.60085975,728,6.275862069
158,44,CHATHAM,9,Weekdays,24.50986385,645,5.560344828
159,69,GREATER GRAND CROSSING,10,Weekdays,24.4644603,434,3.74137931
160,38,GRAND BOULEVARD,13,Weekdays,16.64508749,758,6.534482759
161,33,NEAR SOUTH SIDE,5,Weekdays,48.97012878,2089,18.00862069
162,32,LOOP,15,Weekend/Holidays,18.96805298,38459,331.5431034
163,34,ARMOUR SQUARE,14,Weekend/Holidays,22.29816063,259,2.232758621
164,34,ARMOUR SQUARE,19,Weekdays,19.48293776,543,4.681034483
165,34,ARMOUR SQUARE,7,Weekend/Holidays,46.04780339,83,0.715517241
166,34,ARMOUR SQUARE,6,Weekdays,35.33495342,181,1.560344828
167,6,LAKE VIEW,19,Weekend/Holidays,16.92220846,9560,82.4137931
168,68,ENGLEWOOD,10,Weekdays,28.00958925,180,1.551724138
169,73,WASHINGTON HEIGHTS,10,Weekdays,32.8231663,221,1.905172414
170,7,LINCOLN PARK,5,Weekend/Holidays,25.55785254,1876,16.17241379
171,7,LINCOLN PARK,0,Weekdays,18.00640526,4009,34.56034483
172,7,LINCOLN PARK,4,Weekend/Holidays,21.13964316,3395,29.26724138
173,6,LAKE VIEW,17,Weekdays,14.56960459,13569,116.9741379
174,6,LAKE VIEW,6,Weekdays,29.70643278,7481,64.49137931
175,6,LAKE VIEW,9,Weekend/Holidays,25.94260751,4128,35.5862069
176,77,EDGEWATER,4,Weekend/Holidays,27.46644539,563,4.853448276
177,67,WEST ENGLEWOOD,15,Weekdays,23.34835302,89,0.767241379
178,67,WEST ENGLEWOOD,15,Weekend/Holidays,22.00978212,47,0.405172414
179,75,MORGAN PARK,13,Weekend/Holidays,38.91229515,72,0.620689655
180,5,NORTH CENTER,8,Weekdays,17.6543888,1200,10.34482759
181,5,NORTH CENTER,13,Weekdays,18.8154947,1241,10.69827586
182,5,NORTH CENTER,7,Weekend/Holidays,27.15841323,299,2.577586207
183,5,NORTH CENTER,6,Weekdays,28.30302265,973,8.387931034
184,5,NORTH CENTER,9,Weekend/Holidays,26.03764084,324,2.793103448
185,5,NORTH CENTER,22,Weekend/Holidays,20.83334573,432,3.724137931
186,58,BRIGHTON PARK,9,Weekdays,9.959503524,103,0.887931034
187,27,EAST GARFIELD PARK,9,Weekdays,18.13718787,472,4.068965517
188,70,ASHBURN,10,Weekdays,21.19030242,222,1.913793103
189,16,IRVING PARK,4,Weekend/Holidays,22.96701469,590,5.086206897
190,16,IRVING PARK,1,Weekdays,21.88547603,1172,10.10344828
191,16,IRVING PARK,8,Weekdays,16.6625183,1886,16.25862069
192,16,IRVING PARK,21,Weekend/Holidays,14.67915182,451,3.887931034
193,16,IRVING PARK,23,Weekdays,17.89081091,1309,11.28448276
194,16,IRVING PARK,2,Weekend/Holidays,23.79845272,939,8.094827586
195,16,IRVING PARK,6,Weekdays,24.91528501,1146,9.879310345
196,13,NORTH PARK,12,Weekend/Holidays,18.12467533,179,1.543103448
197,13,NORTH PARK,19,Weekdays,15.19328604,340,2.931034483
198,62,WEST ELSDON,9,Weekend/Holidays,33.25182365,18,0.155172414
199,26,WEST GARFIELD PARK,1,Weekdays,28.23414622,25,0.215517241
200,26,WEST GARFIELD PARK,9,Weekend/Holidays,37.92718413,16,0.137931034
201,15,PORTAGE PARK,11,Weekend/Holidays,19.91003909,346,2.982758621
202,25,AUSTIN,23,Weekend/Holidays,33.12955696,55,0.474137931
203,12,FOREST GLEN,13,Weekdays,22.59759946,288,2.482758621
204,15,PORTAGE PARK,8,Weekdays,15.38387378,698,6.017241379
205,15,PORTAGE PARK,18,Weekdays,14.14428484,483,4.163793103
206,10,NORWOOD PARK,6,Weekdays,31.37670643,466,4.017241379
207,10,NORWOOD PARK,19,Weekdays,18.48961891,336,2.896551724
208,53,WEST PULLMAN,9,Weekend/Holidays,47.57662217,96,0.827586207
209,1,ROGERS PARK,10,Weekend/Holidays,24.62664101,751,6.474137931
210,1,ROGERS PARK,16,Weekend/Holidays,18.54436365,697,6.00862069
211,1,ROGERS PARK,7,Weekend/Holidays,27.55456043,498,4.293103448
212,1,ROGERS PARK,9,Weekdays,21.80841396,2434,20.98275862
213,1,ROGERS PARK,11,Weekdays,23.88521518,1666,14.36206897
214,24,WEST TOWN,5,Weekend/Holidays,27.20850465,1851,15.95689655
215,4,LINCOLN SQUARE,9,Weekend/Holidays,24.45072103,550,4.74137931
216,4,LINCOLN SQUARE,9,Weekdays,20.85376568,2248,19.37931034
217,4,LINCOLN SQUARE,7,Weekend/Holidays,26.49571875,423,3.646551724
218,22,LOGAN SQUARE,23,Weekdays,21.1973744,1571,13.54310345
219,22,LOGAN SQUARE,17,Weekdays,15.43117666,1386,11.94827586
220,21,AVONDALE,10,Weekdays,19.18948179,1280,11.03448276
221,21,AVONDALE,2,Weekend/Holidays,20.47590714,419,3.612068966
222,21,AVONDALE,15,Weekend/Holidays,16.88952598,389,3.353448276
223,21,AVONDALE,14,Weekdays,15.89710509,1629,14.04310345
224,14,ALBANY PARK,2,Weekdays,21.8572186,1061,9.146551724
225,28,NEAR WEST SIDE,11,Weekend/Holidays,19.13343466,15658,134.9827586
226,42,WOODLAWN,10,Weekdays,24.51143103,616,5.310344828
227,39,KENWOOD,9,Weekdays,19.50233709,1641,14.14655172
