,pickup_community_area,pickup_ca,start_hour,cal_day_desc,average_speed,total_trips,avg_trips
915,39,KENWOOD,16,Weekend/Holidays,16.62744919,238,2.051724138
916,42,WOODLAWN,0,Weekdays,16.21507547,40,0.344827586
917,42,WOODLAWN,8,Weekend/Holidays,37.4098684,112,0.965517241
918,38,GRAND BOULEVARD,18,Weekdays,15.70203533,517,4.456896552
919,40,WASHINGTON PARK,9,Weekend/Holidays,27.27719109,69,0.594827586
920,49,ROSELAND,14,Weekend/Holidays,32.35790668,136,1.172413793
921,37,FULLER PARK,12,Weekend/Holidays,14.36793159,56,0.482758621
922,60,BRIDGEPORT,9,Weekend/Holidays,28.19424109,88,0.75862069
923,60,BRIDGEPORT,3,Weekdays,50.89119163,21,0.181034483
924,60,BRIDGEPORT,1,Weekdays,36.54334324,28,0.24137931
925,71,AUBURN GRESHAM,15,Weekend/Holidays,28.24323205,73,0.629310345
926,71,AUBURN GRESHAM,10,Weekend/Holidays,26.38070029,139,1.198275862
927,65,WEST LAWN,11,Weekdays,19.44851894,75,0.646551724
928,19,BELMONT CRAGIN,1,Weekdays,19.27480234,141,1.215517241
929,9,EDISON PARK,21,Weekdays,42.91498274,5,0.043103448
930,27,EAST GARFIELD PARK,19,Weekend/Holidays,29.45723176,39,0.336206897
931,43,SOUTH SHORE,22,Weekdays,11.34363116,109,0.939655172
932,33,NEAR SOUTH SIDE,14,Weekend/Holidays,19.53876745,11158,96.18965517
933,32,LOOP,14,Weekend/Holidays,19.16017769,36775,317.0258621
934,7,LINCOLN PARK,7,Weekend/Holidays,32.17679625,1334,11.5
935,7,LINCOLN PARK,10,Weekend/Holidays,22.27793786,3620,31.20689655
936,1,ROGERS PARK,23,Weekend/Holidays,24.74511915,711,6.129310345
937,27,EAST GARFIELD PARK,18,Weekdays,19.6368543,151,1.301724138
938,11,JEFFERSON PARK,13,Weekend/Holidays,21.65428557,315,2.715517241
939,43,SOUTH SHORE,19,Weekdays,28.81986777,207,1.784482759
940,7,LINCOLN PARK,2,Weekend/Holidays,18.79070737,7670,66.12068966
941,22,LOGAN SQUARE,14,Weekend/Holidays,18.28091822,563,4.853448276
942,65,WEST LAWN,10,Weekdays,29.44663815,67,0.577586207
943,15,PORTAGE PARK,7,Weekend/Holidays,32.79197535,150,1.293103448
944,55,HEGEWISCH,8,Weekdays,37.63003155,55,0.474137931
945,39,KENWOOD,14,Weekdays,18.36286504,979,8.439655172
946,39,KENWOOD,6,Weekdays,37.82524148,393,3.387931034
947,53,WEST PULLMAN,6,Weekend/Holidays,55.10255199,62,0.534482759
948,31,LOWER WEST SIDE,21,Weekend/Holidays,11.72716295,110,0.948275862
949,13,NORTH PARK,20,Weekend/Holidays,22.83615611,149,1.284482759
950,22,LOGAN SQUARE,20,Weekdays,18.46028703,1382,11.9137931
951,13,NORTH PARK,8,Weekdays,16.90794134,375,3.232758621
952,11,JEFFERSON PARK,12,Weekend/Holidays,24.43417677,307,2.646551724
953,5,NORTH CENTER,4,Weekdays,37.91932858,408,3.517241379
954,13,NORTH PARK,9,Weekdays,22.18196011,441,3.801724138
955,15,PORTAGE PARK,10,Weekend/Holidays,20.71228755,358,3.086206897
956,15,PORTAGE PARK,16,Weekend/Holidays,19.19038604,242,2.086206897
957,48,CALUMET HEIGHTS,12,Weekend/Holidays,24.69092239,54,0.465517241
958,69,GREATER GRAND CROSSING,12,Weekend/Holidays,29.37068124,165,1.422413793
959,40,WASHINGTON PARK,22,Weekdays,28.95773053,63,0.543103448
960,71,AUBURN GRESHAM,16,Weekend/Holidays,28.51595807,70,0.603448276
961,46,SOUTH CHICAGO,17,Weekdays,18.0888957,97,0.836206897
962,47,BURNSIDE,1,Weekend/Holidays,22.78525799,3,0.025862069
963,39,KENWOOD,18,Weekend/Holidays,23.37554349,183,1.577586207
964,38,GRAND BOULEVARD,23,Weekend/Holidays,26.58474923,71,0.612068966
965,61,NEW CITY,18,Weekdays,20.18337514,86,0.74137931
966,69,GREATER GRAND CROSSING,8,Weekdays,26.15252869,318,2.74137931
967,53,WEST PULLMAN,4,Weekend/Holidays,76.51830508,13,0.112068966
968,35,DOUGLAS,16,Weekend/Holidays,12.47688107,420,3.620689655
969,60,BRIDGEPORT,16,Weekend/Holidays,19.73012381,94,0.810344828
970,36,OAKLAND,3,Weekend/Holidays,30.19997983,8,0.068965517
971,35,DOUGLAS,2,Weekdays,24.10242812,100,0.862068966
972,37,FULLER PARK,9,Weekdays,28.09272531,75,0.646551724
973,34,ARMOUR SQUARE,21,Weekend/Holidays,21.39447177,456,3.931034483
974,55,HEGEWISCH,10,Weekdays,57.46393586,72,0.620689655
975,53,WEST PULLMAN,4,Weekdays,66.57831641,46,0.396551724
976,53,WEST PULLMAN,22,Weekdays,59.36572731,16,0.137931034
977,49,ROSELAND,7,Weekend/Holidays,56.93290474,80,0.689655172
978,48,CALUMET HEIGHTS,20,Weekdays,39.44642873,44,0.379310345
979,2,WEST RIDGE,23,Weekend/Holidays,16.76395518,536,4.620689655
980,42,WOODLAWN,11,Weekdays,22.82565048,536,4.620689655
981,61,NEW CITY,13,Weekend/Holidays,29.26044471,63,0.543103448
982,27,EAST GARFIELD PARK,11,Weekdays,19.29477532,440,3.793103448
983,11,JEFFERSON PARK,0,Weekend/Holidays,14.69962612,657,5.663793103
984,43,SOUTH SHORE,20,Weekdays,20.43027615,262,2.25862069
985,38,GRAND BOULEVARD,12,Weekend/Holidays,16.38907283,310,2.672413793
986,26,WEST GARFIELD PARK,18,Weekdays,23.46605505,69,0.594827586
987,20,HERMOSA,7,Weekdays,18.29304689,69,0.594827586
988,22,LOGAN SQUARE,1,Weekdays,17.21789555,1049,9.043103448
989,75,MORGAN PARK,8,Weekdays,34.62204958,172,1.482758621
990,68,ENGLEWOOD,11,Weekdays,27.77163407,226,1.948275862
991,27,EAST GARFIELD PARK,16,Weekdays,23.33297053,388,3.344827586
992,55,HEGEWISCH,18,Weekdays,38.05961601,8,0.068965517
993,63,GAGE PARK,9,Weekend/Holidays,11.4151875,7,0.060344828
994,19,BELMONT CRAGIN,16,Weekend/Holidays,16.40698308,121,1.043103448
995,19,BELMONT CRAGIN,11,Weekdays,18.07032217,338,2.913793103
996,31,LOWER WEST SIDE,4,Weekdays,31.65783822,105,0.905172414
997,30,SOUTH LAWNDALE,6,Weekdays,36.08411093,33,0.284482759
998,16,IRVING PARK,13,Weekend/Holidays,17.38489008,683,5.887931034
999,16,IRVING PARK,17,Weekend/Holidays,16.95656595,705,6.077586207
1000,40,WASHINGTON PARK,20,Weekend/Holidays,26.57697359,31,0.267241379
1001,3,UPTOWN,0,Weekend/Holidays,21.66155534,2854,24.60344828
1002,32,LOOP,3,Weekend/Holidays,28.7703394,3553,30.62931034
1003,35,DOUGLAS,12,Weekend/Holidays,22.9505386,591,5.094827586
1004,40,WASHINGTON PARK,10,Weekdays,23.46136439,194,1.672413793
1005,25,AUSTIN,23,Weekdays,26.64742213,124,1.068965517
1006,41,HYDE PARK,23,Weekdays,21.99253066,225,1.939655172
1007,43,SOUTH SHORE,1,Weekend/Holidays,39.48084389,28,0.24137931
1008,69,GREATER GRAND CROSSING,11,Weekend/Holidays,34.53456718,167,1.439655172
1009,17,DUNNING,6,Weekdays,26.5580056,192,1.655172414
1010,51,SOUTH DEERING,14,Weekdays,23.7184438,153,1.318965517
1011,51,SOUTH DEERING,16,Weekdays,28.59939864,80,0.689655172
1012,46,SOUTH CHICAGO,5,Weekdays,39.05028234,149,1.284482759
1013,44,CHATHAM,15,Weekend/Holidays,27.11634638,143,1.232758621
1014,71,AUBURN GRESHAM,16,Weekdays,23.88960165,130,1.120689655
1015,69,GREATER GRAND CROSSING,22,Weekend/Holidays,42.26652464,39,0.336206897
1016,52,EAST SIDE,11,Weekend/Holidays,37.10191159,7,0.060344828
1017,36,OAKLAND,10,Weekdays,21.92689691,263,2.267241379
1018,35,DOUGLAS,19,Weekdays,16.52224099,765,6.594827586
1019,40,WASHINGTON PARK,19,Weekend/Holidays,24.79998979,51,0.439655172
1020,30,SOUTH LAWNDALE,7,Weekdays,23.28389791,85,0.732758621
1021,38,GRAND BOULEVARD,10,Weekdays,17.17140546,773,6.663793103
1022,24,WEST TOWN,22,Weekend/Holidays,19.43110557,2924,25.20689655
1023,26,WEST GARFIELD PARK,9,Weekdays,23.37455034,64,0.551724138
1024,77,EDGEWATER,20,Weekend/Holidays,15.21953833,1334,11.5
1025,69,GREATER GRAND CROSSING,19,Weekend/Holidays,9.628850157,55,0.474137931
1026,2,WEST RIDGE,20,Weekdays,11.38620816,1202,10.36206897
1027,75,MORGAN PARK,10,Weekdays,40.55454526,193,1.663793103
1028,69,GREATER GRAND CROSSING,15,Weekend/Holidays,24.86689749,153,1.318965517
1029,20,HERMOSA,0,Weekend/Holidays,22.82811004,30,0.25862069
1030,64,CLEARING,18,Weekdays,34.72547211,28,0.24137931
1031,70,ASHBURN,4,Weekend/Holidays,43.26278435,20,0.172413793
1032,15,PORTAGE PARK,21,Weekend/Holidays,14.68978615,203,1.75
1033,17,DUNNING,22,Weekdays,27.03937186,90,0.775862069
1034,17,DUNNING,10,Weekend/Holidays,19.13160217,77,0.663793103
1035,20,HERMOSA,5,Weekend/Holidays,29.32188901,42,0.362068966
1036,65,WEST LAWN,19,Weekdays,26.90777897,19,0.163793103
1037,19,BELMONT CRAGIN,15,Weekdays,16.81374448,315,2.715517241
1038,23,HUMBOLDT PARK,4,Weekend/Holidays,27.56687544,125,1.077586207
1039,15,PORTAGE PARK,2,Weekdays,33.60321234,283,2.439655172
1040,60,BRIDGEPORT,15,Weekdays,15.59432018,284,2.448275862
1041,8,NEAR NORTH SIDE,17,Weekend/Holidays,15.80979951,73530,633.8793103
1042,70,ASHBURN,16,Weekdays,19.14270732,54,0.465517241
1043,71,AUBURN GRESHAM,2,Weekdays,55.46288805,83,0.715517241
1044,47,BURNSIDE,6,Weekdays,36.86824369,42,0.362068966
1045,10,NORWOOD PARK,7,Weekend/Holidays,34.90876753,105,0.905172414
1046,12,FOREST GLEN,1,Weekend/Holidays,23.82530411,16,0.137931034
1047,14,ALBANY PARK,18,Weekend/Holidays,16.6555476,295,2.543103448
1048,31,LOWER WEST SIDE,17,Weekdays,12.78335823,361,3.112068966
1049,21,AVONDALE,21,Weekend/Holidays,18.30179583,268,2.310344828
1050,58,BRIGHTON PARK,7,Weekdays,24.21489502,88,0.75862069
1051,70,ASHBURN,17,Weekdays,20.3504505,60,0.517241379
1052,45,AVALON PARK,8,Weekdays,25.21690719,151,1.301724138
1053,49,ROSELAND,14,Weekdays,32.44127645,301,2.594827586
1054,38,GRAND BOULEVARD,18,Weekend/Holidays,15.30608963,154,1.327586207
1055,32,LOOP,9,Weekend/Holidays,29.06353999,21918,188.9482759
1056,34,ARMOUR SQUARE,1,Weekdays,15.81088264,105,0.905172414
1057,31,LOWER WEST SIDE,19,Weekdays,22.74495032,259,2.232758621
1058,61,NEW CITY,14,Weekdays,13.41210752,801,6.905172414
1059,74,MOUNT GREENWOOD,3,Weekdays,73.42696948,1,0.00862069
1060,65,WEST LAWN,6,Weekdays,31.46298024,60,0.517241379
1061,10,NORWOOD PARK,5,Weekend/Holidays,37.41334612,70,0.603448276
1062,46,SOUTH CHICAGO,8,Weekend/Holidays,31.23906804,74,0.637931034
1063,48,CALUMET HEIGHTS,8,Weekdays,25.46960979,315,2.715517241
1064,67,WEST ENGLEWOOD,22,Weekdays,21.370522,12,0.103448276
1065,45,AVALON PARK,19,Weekdays,23.26918643,38,0.327586207
1066,44,CHATHAM,16,Weekdays,22.06774315,367,3.163793103
1067,67,WEST ENGLEWOOD,10,Weekend/Holidays,12.30833945,43,0.370689655
1068,29,NORTH LAWNDALE,22,Weekdays,30.21562251,81,0.698275862
1069,61,NEW CITY,12,Weekdays,23.8075474,178,1.534482759
1070,25,AUSTIN,5,Weekdays,31.82544524,128,1.103448276
1071,42,WOODLAWN,17,Weekend/Holidays,24.12486219,108,0.931034483
1072,49,ROSELAND,20,Weekend/Holidays,51.89402702,98,0.844827586
1073,42,WOODLAWN,9,Weekend/Holidays,31.6013025,137,1.181034483
1074,53,WEST PULLMAN,9,Weekdays,31.9225426,334,2.879310345
1075,34,ARMOUR SQUARE,18,Weekend/Holidays,23.21316015,324,2.793103448
1076,47,BURNSIDE,7,Weekend/Holidays,53.1794037,8,0.068965517
1077,61,NEW CITY,21,Weekdays,20.89723415,64,0.551724138
1078,77,EDGEWATER,1,Weekend/Holidays,17.72412612,1403,12.09482759
1079,25,AUSTIN,22,Weekend/Holidays,32.819697,79,0.681034483
1080,48,CALUMET HEIGHTS,14,Weekend/Holidays,29.24456243,43,0.370689655
1081,75,MORGAN PARK,8,Weekend/Holidays,53.89731496,29,0.25
1082,16,IRVING PARK,19,Weekend/Holidays,19.98145629,513,4.422413793
1083,19,BELMONT CRAGIN,10,Weekdays,17.74431349,340,2.931034483
1084,18,MONTCLARE,14,Weekdays,23.31396659,50,0.431034483
1085,41,HYDE PARK,6,Weekend/Holidays,53.73876803,120,1.034482759
1086,41,HYDE PARK,6,Weekdays,41.01282567,401,3.456896552
1087,30,SOUTH LAWNDALE,1,Weekdays,26.44668876,22,0.189655172
1088,30,SOUTH LAWNDALE,5,Weekdays,41.83852652,24,0.206896552
1089,64,CLEARING,3,Weekdays,62.1780117,7,0.060344828
1090,39,KENWOOD,17,Weekend/Holidays,19.84274456,186,1.603448276
1091,38,GRAND BOULEVARD,0,Weekdays,27.71810019,61,0.525862069
1092,38,GRAND BOULEVARD,2,Weekend/Holidays,23.7905939,34,0.293103448
1093,38,GRAND BOULEVARD,16,Weekend/Holidays,18.55926924,229,1.974137931
1094,40,WASHINGTON PARK,11,Weekdays,26.34159771,167,1.439655172
1095,40,WASHINGTON PARK,12,Weekend/Holidays,21.74141099,94,0.810344828
1096,40,WASHINGTON PARK,20,Weekdays,28.49823487,78,0.672413793
1097,35,DOUGLAS,8,Weekend/Holidays,27.26840065,330,2.844827586
1098,35,DOUGLAS,0,Weekdays,16.3106692,189,1.629310345
1099,68,ENGLEWOOD,5,Weekend/Holidays,33.82259579,15,0.129310345
1100,60,BRIDGEPORT,22,Weekend/Holidays,21.69055861,124,1.068965517
1101,67,WEST ENGLEWOOD,4,Weekend/Holidays,37.58750157,9,0.077586207
1102,70,ASHBURN,13,Weekdays,27.15220159,198,1.706896552
1103,70,ASHBURN,11,Weekend/Holidays,19.67263174,55,0.474137931
1104,23,HUMBOLDT PARK,9,Weekend/Holidays,25.66920332,104,0.896551724
1105,13,NORTH PARK,18,Weekend/Holidays,8.730211138,119,1.025862069
1106,25,AUSTIN,19,Weekdays,26.53196206,147,1.267241379
1107,19,BELMONT CRAGIN,2,Weekend/Holidays,20.45467978,137,1.181034483
1108,56,GARFIELD RIDGE,6,Weekdays,30.86612998,1632,14.06896552
1109,56,GARFIELD RIDGE,3,Weekend/Holidays,40.73120685,228,1.965517241
1110,21,AVONDALE,22,Weekend/Holidays,12.71473833,292,2.517241379
1111,21,AVONDALE,5,Weekend/Holidays,29.64153349,216,1.862068966
1112,14,ALBANY PARK,11,Weekend/Holidays,19.54998644,344,2.965517241
1113,31,LOWER WEST SIDE,10,Weekend/Holidays,19.43118817,83,0.715517241
1114,66,CHICAGO LAWN,19,Weekend/Holidays,26.04589963,26,0.224137931
1115,56,GARFIELD RIDGE,0,Weekend/Holidays,35.16951512,1658,14.29310345
1116,48,CALUMET HEIGHTS,18,Weekend/Holidays,34.47159253,20,0.172413793
1117,45,AVALON PARK,5,Weekend/Holidays,19.59883848,9,0.077586207
1118,36,OAKLAND,17,Weekend/Holidays,23.73796616,53,0.456896552
1119,69,GREATER GRAND CROSSING,14,Weekdays,24.52724695,362,3.120689655
1120,37,FULLER PARK,23,Weekend/Holidays,44.2609958,10,0.086206897
1121,37,FULLER PARK,2,Weekdays,53.22319059,16,0.137931034
1122,71,AUBURN GRESHAM,0,Weekend/Holidays,38.73344185,18,0.155172414
1123,61,NEW CITY,12,Weekend/Holidays,26.0811022,50,0.431034483
1124,61,NEW CITY,16,Weekdays,18.99786611,105,0.905172414
1125,13,NORTH PARK,6,Weekend/Holidays,30.37559442,91,0.784482759
1126,65,WEST LAWN,11,Weekend/Holidays,28.11336696,14,0.120689655
1127,12,FOREST GLEN,10,Weekend/Holidays,25.96259705,33,0.284482759
1128,12,FOREST GLEN,11,Weekend/Holidays,21.13320388,46,0.396551724
1129,12,FOREST GLEN,16,Weekdays,18.2744116,201,1.732758621
1130,12,FOREST GLEN,9,Weekdays,22.07093055,221,1.905172414
1131,19,BELMONT CRAGIN,23,Weekdays,18.54480055,160,1.379310345
1132,9,EDISON PARK,23,Weekend/Holidays,25.58203085,9,0.077586207
1133,9,EDISON PARK,8,Weekdays,24.44618274,18,0.155172414
1134,9,EDISON PARK,7,Weekdays,25.76032157,14,0.120689655
1135,72,BEVERLY,12,Weekdays,27.57107999,100,0.862068966
1136,18,MONTCLARE,10,Weekend/Holidays,29.67098854,15,0.129310345
1137,32,LOOP,20,Weekend/Holidays,16.49229481,32393,279.25
1138,22,LOGAN SQUARE,1,Weekend/Holidays,23.2580649,3223,27.78448276
1139,29,NORTH LAWNDALE,7,Weekdays,24.18639411,102,0.879310345
1140,73,WASHINGTON HEIGHTS,1,Weekend/Holidays,46.11837295,11,0.094827586
1141,77,EDGEWATER,22,Weekend/Holidays,16.88758913,1384,11.93103448
1142,29,NORTH LAWNDALE,18,Weekdays,26.63069766,152,1.310344828
1143,49,ROSELAND,4,Weekdays,61.75419614,178,1.534482759
1144,53,WEST PULLMAN,15,Weekdays,40.22702223,93,0.801724138
1145,26,WEST GARFIELD PARK,7,Weekend/Holidays,38.9944438,17,0.146551724
1146,64,CLEARING,7,Weekdays,28.02293893,36,0.310344828
1147,53,WEST PULLMAN,17,Weekdays,34.41039383,69,0.594827586
1148,59,MCKINLEY PARK,5,Weekdays,36.5998337,31,0.267241379
1149,30,SOUTH LAWNDALE,3,Weekend/Holidays,32.91489727,27,0.232758621
1150,27,EAST GARFIELD PARK,17,Weekend/Holidays,28.34634916,65,0.560344828
1151,50,PULLMAN,11,Weekend/Holidays,36.29144838,50,0.431034483
1152,43,SOUTH SHORE,11,Weekend/Holidays,22.72133178,251,2.163793103
1153,9,EDISON PARK,11,Weekend/Holidays,18.17497648,7,0.060344828
1154,19,BELMONT CRAGIN,15,Weekend/Holidays,16.42812622,132,1.137931034
1155,53,WEST PULLMAN,10,Weekend/Holidays,41.06678732,69,0.594827586
1156,5,NORTH CENTER,18,Weekdays,14.64253811,944,8.137931034
1157,26,WEST GARFIELD PARK,10,Weekend/Holidays,33.73808792,39,0.336206897
1158,70,ASHBURN,9,Weekend/Holidays,20.27141424,63,0.543103448
1159,44,CHATHAM,19,Weekend/Holidays,38.91162339,64,0.551724138
1160,71,AUBURN GRESHAM,19,Weekend/Holidays,36.48349227,55,0.474137931
1161,69,GREATER GRAND CROSSING,13,Weekend/Holidays,18.37710606,194,1.672413793
1162,22,LOGAN SQUARE,13,Weekend/Holidays,17.17407642,489,4.215517241
1163,23,HUMBOLDT PARK,19,Weekend/Holidays,23.60391671,85,0.732758621
1164,20,HERMOSA,19,Weekdays,18.45618195,45,0.387931034
1165,51,SOUTH DEERING,17,Weekend/Holidays,6.892782464,31,0.267241379
1166,62,WEST ELSDON,19,Weekdays,31.25776978,40,0.344827586
1167,20,HERMOSA,21,Weekdays,17.61268889,71,0.612068966
1168,53,WEST PULLMAN,14,Weekend/Holidays,43.54839877,90,0.775862069
1169,73,WASHINGTON HEIGHTS,12,Weekdays,32.45500179,216,1.862068966
1170,29,NORTH LAWNDALE,23,Weekdays,16.30467877,62,0.534482759
1171,41,HYDE PARK,0,Weekdays,30.7220429,96,0.827586207
1172,46,SOUTH CHICAGO,0,Weekdays,41.35561644,12,0.103448276
1173,66,CHICAGO LAWN,16,Weekdays,16.66144355,78,0.672413793
1174,55,HEGEWISCH,14,Weekdays,43.14890376,20,0.172413793
1175,45,AVALON PARK,5,Weekdays,44.83014688,102,0.879310345
1176,42,WOODLAWN,20,Weekdays,22.83447667,153,1.318965517
1177,38,GRAND BOULEVARD,3,Weekend/Holidays,35.12645077,14,0.120689655
1178,38,GRAND BOULEVARD,15,Weekend/Holidays,17.38180535,286,2.465517241
1179,40,WASHINGTON PARK,14,Weekdays,19.80617452,136,1.172413793
1180,35,DOUGLAS,4,Weekend/Holidays,34.75045993,56,0.482758621
1181,61,NEW CITY,11,Weekdays,29.12918424,143,1.232758621
1182,67,WEST ENGLEWOOD,10,Weekdays,25.32851559,95,0.818965517
1183,59,MCKINLEY PARK,22,Weekdays,17.31359778,22,0.189655172
1184,70,ASHBURN,23,Weekdays,33.08802363,4,0.034482759
1185,23,HUMBOLDT PARK,6,Weekdays,26.19033214,128,1.103448276
1186,65,WEST LAWN,4,Weekdays,50.60106605,11,0.094827586
1187,26,WEST GARFIELD PARK,23,Weekdays,43.55384867,15,0.129310345
1188,20,HERMOSA,22,Weekdays,13.01399674,45,0.387931034
1189,14,ALBANY PARK,5,Weekend/Holidays,32.73304555,752,6.482758621
1190,76,OHARE,1,Weekend/Holidays,41.9398487,4854,41.84482759
1191,13,NORTH PARK,9,Weekend/Holidays,25.50855967,131,1.129310345
1192,68,ENGLEWOOD,12,Weekdays,28.07428776,204,1.75862069
1193,24,WEST TOWN,19,Weekend/Holidays,18.37489734,2096,18.06896552
1194,47,BURNSIDE,13,Weekdays,22.6325822,52,0.448275862
1195,22,LOGAN SQUARE,22,Weekend/Holidays,19.77791071,857,7.387931034
1196,26,WEST GARFIELD PARK,18,Weekend/Holidays,44.03369963,42,0.362068966
1197,61,NEW CITY,1,Weekdays,35.43303644,8,0.068965517
1198,64,CLEARING,15,Weekend/Holidays,43.68097845,6,0.051724138
1199,18,MONTCLARE,10,Weekdays,22.73552452,51,0.439655172
1200,58,BRIGHTON PARK,11,Weekend/Holidays,38.97181068,12,0.103448276
1201,17,DUNNING,4,Weekend/Holidays,36.59511777,18,0.155172414
1202,51,SOUTH DEERING,11,Weekdays,37.41431628,171,1.474137931
1203,61,NEW CITY,13,Weekdays,24.20103474,179,1.543103448
1204,48,CALUMET HEIGHTS,17,Weekend/Holidays,31.10501261,24,0.206896552
1205,73,WASHINGTON HEIGHTS,12,Weekend/Holidays,36.52474912,82,0.706896552
1206,73,WASHINGTON HEIGHTS,17,Weekdays,31.68501122,105,0.905172414
1207,68,ENGLEWOOD,20,Weekend/Holidays,47.61903787,31,0.267241379
1208,38,GRAND BOULEVARD,5,Weekdays,33.64656275,163,1.405172414
1209,42,WOODLAWN,20,Weekend/Holidays,33.77290519,63,0.543103448
1210,37,FULLER PARK,0,Weekdays,17.14405708,25,0.215517241
1211,49,ROSELAND,18,Weekend/Holidays,17.80888258,55,0.474137931
1212,67,WEST ENGLEWOOD,21,Weekend/Holidays,34.52620525,29,0.25
1213,71,AUBURN GRESHAM,5,Weekend/Holidays,60.63537446,40,0.344827586
1214,5,NORTH CENTER,15,Weekend/Holidays,16.77728499,422,3.637931034
1215,74,MOUNT GREENWOOD,13,Weekdays,34.73600113,17,0.146551724
1216,25,AUSTIN,18,Weekdays,27.87172481,190,1.637931034
1217,64,CLEARING,1,Weekdays,26.88148616,11,0.094827586
1218,68,ENGLEWOOD,12,Weekend/Holidays,31.27567192,85,0.732758621
1219,11,JEFFERSON PARK,5,Weekend/Holidays,42.07051132,252,2.172413793
1220,41,HYDE PARK,8,Weekend/Holidays,38.31660196,233,2.00862069
1221,69,GREATER GRAND CROSSING,9,Weekend/Holidays,37.04502487,163,1.405172414
1222,70,ASHBURN,5,Weekend/Holidays,47.05467219,25,0.215517241
1223,75,MORGAN PARK,1,Weekdays,35.20227758,10,0.086206897
1224,44,CHATHAM,0,Weekdays,36.1210303,26,0.224137931
1225,24,WEST TOWN,16,Weekend/Holidays,18.24807345,1786,15.39655172
1226,15,PORTAGE PARK,5,Weekend/Holidays,31.56072493,145,1.25
1227,52,EAST SIDE,10,Weekdays,29.8083667,28,0.24137931
1228,29,NORTH LAWNDALE,17,Weekdays,24.1358146,176,1.517241379
1229,62,WEST ELSDON,3,Weekdays,42.73576008,10,0.086206897
1230,20,HERMOSA,4,Weekend/Holidays,27.7457854,39,0.336206897
1231,53,WEST PULLMAN,17,Weekend/Holidays,45.24313631,29,0.25
1232,38,GRAND BOULEVARD,4,Weekdays,40.17238523,94,0.810344828
1233,39,KENWOOD,0,Weekend/Holidays,8.059240419,36,0.310344828
1234,39,KENWOOD,4,Weekend/Holidays,58.52609644,32,0.275862069
1235,15,PORTAGE PARK,1,Weekdays,15.22679623,223,1.922413793
1236,52,EAST SIDE,23,Weekdays,39.15998144,3,0.025862069
1237,69,GREATER GRAND CROSSING,19,Weekdays,29.53302546,115,0.99137931
1238,46,SOUTH CHICAGO,19,Weekend/Holidays,18.45746778,34,0.293103448
1239,42,WOODLAWN,22,Weekdays,38.41937121,101,0.870689655
1240,73,WASHINGTON HEIGHTS,21,Weekend/Holidays,47.75407635,22,0.189655172
1241,29,NORTH LAWNDALE,20,Weekend/Holidays,35.80013946,71,0.612068966
1242,26,WEST GARFIELD PARK,12,Weekend/Holidays,34.0898414,44,0.379310345
1243,26,WEST GARFIELD PARK,17,Weekend/Holidays,37.51800248,46,0.396551724
1244,65,WEST LAWN,15,Weekend/Holidays,27.16593563,16,0.137931034
1245,68,ENGLEWOOD,20,Weekdays,18.37104646,79,0.681034483
1246,44,CHATHAM,20,Weekdays,16.23109338,94,0.810344828
1247,68,ENGLEWOOD,13,Weekdays,26.15057211,232,2
1248,50,PULLMAN,15,Weekdays,36.07238648,85,0.732758621
1249,55,HEGEWISCH,15,Weekend/Holidays,51.70357009,4,0.034482759
1250,73,WASHINGTON HEIGHTS,10,Weekend/Holidays,31.11650774,83,0.715517241
1251,69,GREATER GRAND CROSSING,16,Weekend/Holidays,22.81512831,106,0.913793103
1252,46,SOUTH CHICAGO,11,Weekdays,31.8280854,297,2.560344828
1253,29,NORTH LAWNDALE,15,Weekend/Holidays,29.79398846,123,1.060344828
1254,59,MCKINLEY PARK,7,Weekdays,20.74782374,100,0.862068966
1255,75,MORGAN PARK,23,Weekend/Holidays,48.23546763,10,0.086206897
1256,73,WASHINGTON HEIGHTS,16,Weekend/Holidays,34.85798852,52,0.448275862
1257,64,CLEARING,17,Weekend/Holidays,25.63224485,13,0.112068966
1258,61,NEW CITY,17,Weekend/Holidays,23.6401976,38,0.327586207
1259,64,CLEARING,16,Weekend/Holidays,7.937841766,15,0.129310345
1260,12,FOREST GLEN,20,Weekdays,14.98256424,117,1.00862069
1261,44,CHATHAM,23,Weekend/Holidays,16.16252964,24,0.206896552
1262,36,OAKLAND,20,Weekdays,16.3881163,66,0.568965517
1263,27,EAST GARFIELD PARK,20,Weekend/Holidays,35.86997884,38,0.327586207
1264,30,SOUTH LAWNDALE,9,Weekend/Holidays,39.82592184,33,0.284482759
1265,48,CALUMET HEIGHTS,3,Weekend/Holidays,69.87186507,30,0.25862069
1266,49,ROSELAND,8,Weekend/Holidays,49.08538801,85,0.732758621
1267,64,CLEARING,17,Weekdays,27.02837802,20,0.172413793
1268,75,MORGAN PARK,14,Weekend/Holidays,39.35984341,69,0.594827586
1269,48,CALUMET HEIGHTS,1,Weekdays,35.42729214,7,0.060344828
1270,70,ASHBURN,19,Weekdays,17.71154637,63,0.543103448
1271,36,OAKLAND,18,Weekend/Holidays,24.59289735,40,0.344827586
1272,49,ROSELAND,19,Weekend/Holidays,37.90955801,63,0.543103448
1273,46,SOUTH CHICAGO,11,Weekend/Holidays,29.87496511,101,0.870689655
1274,51,SOUTH DEERING,15,Weekend/Holidays,34.50118252,34,0.293103448
1275,52,EAST SIDE,12,Weekdays,36.93048336,40,0.344827586
