S/N,pickup_community_area,pickup_ca,dropoff_community_area,dropoff_ca,time_indicator,cal_day_desc,avg_trips,total_trips,average_time,average_km,average_fare
8698,51,SOUTH DEERING,74,MOUNT GREENWOOD,Lunch Period,Weekdays,0.00862069,1,42,0,3.25
9969,73,WASHINGTON HEIGHTS,64,CLEARING,PM Period,Weekdays,0.00862069,1,42,0,3.25
9997,54,RIVERDALE,25,AUSTIN,AM Period,Weekdays,0.00862069,1,42,0,3.25
10846,44,CHATHAM,65,WEST LAWN,PM Period,Weekend/Holidays,0.00862069,1,42,0,3.25
11400,47,BURNSIDE,21,AVONDALE,Lunch Period,Weekend/Holidays,0.00862069,1,42,0,3.25
11709,72,BEVERLY,2,WEST RIDGE,Lunch Period,Weekdays,0.00862069,1,42,0,3.25
11930,22,LOGAN SQUARE,40,WASHINGTON PARK,Lunch Period,Weekend/Holidays,0.00862069,1,42,0,3.25
13504,45,AVALON PARK,2,WEST RIDGE,Night,Weekend/Holidays,0.00862069,1,42,0,3.25
20528,3,UPTOWN,60,BRIDGEPORT,PM Period,Weekend/Holidays,0.034482759,4,41.98333333,55.524875,38.9375
9155,46,SOUTH CHICAGO,4,LINCOLN SQUARE,AM Period,Weekdays,0.00862069,1,41.98333333,30.912,49
17252,64,CLEARING,24,WEST TOWN,PM Period,Weekdays,0.025862069,3,41.97777778,23.08203333,42.28333333
17657,23,HUMBOLDT PARK,66,CHICAGO LAWN,PM Period,Weekend/Holidays,0.025862069,3,41.97777778,19.77616667,34.33333333
25354,33,NEAR SOUTH SIDE,11,JEFFERSON PARK,Lunch Period,Weekend/Holidays,0.068965517,8,41.97708333,21.6404125,63.2075
23906,41,HYDE PARK,74,MOUNT GREENWOOD,PM Period,Weekdays,0.051724138,6,41.975,13.8943,29.83333333
22074,1,ROGERS PARK,36,OAKLAND,PM Period,Weekdays,0.043103448,5,41.97,23.29992,40.15
14836,58,BRIGHTON PARK,77,EDGEWATER,Night,Weekend/Holidays,0.017241379,2,41.96666667,26.9192,45
27022,25,AUSTIN,6,LAKE VIEW,PM Period,Weekend/Holidays,0.086206897,10,41.96166667,17.1465,33.45
14524,27,EAST GARFIELD PARK,76,OHARE,Lunch Period,Weekend/Holidays,0.017241379,2,41.95833333,25.3575,42.625
9809,6,LAKE VIEW,55,HEGEWISCH,AM Period,Weekdays,0.00862069,1,41.95,35.9674,55.5
20547,71,AUBURN GRESHAM,21,AVONDALE,AM Period,Weekdays,0.034482759,4,41.95,26.86285,43.625
12268,70,ASHBURN,7,LINCOLN PARK,Lunch Period,Weekdays,0.00862069,1,41.95,26.6294,43
21973,2,WEST RIDGE,46,SOUTH CHICAGO,Night,Weekdays,0.043103448,5,41.95,15.49786,61.65
14329,7,LINCOLN PARK,18,MONTCLARE,PM Period,Weekdays,0.017241379,2,41.95,14.3934,31.925
17673,36,OAKLAND,76,OHARE,PM Period,Weekend/Holidays,0.025862069,3,41.94444444,38.9298,64.28333333
23199,66,CHICAGO LAWN,56,GARFIELD RIDGE,PM Period,Weekend/Holidays,0.051724138,6,41.94166667,6.531233333,24.875
8388,50,PULLMAN,25,AUSTIN,AM Period,Weekdays,0.00862069,1,41.93333333,29.5918,46.25
14140,14,ALBANY PARK,31,LOWER WEST SIDE,PM Period,Weekend/Holidays,0.017241379,2,41.93333333,17.9354,34.94
16195,1,ROGERS PARK,19,BELMONT CRAGIN,PM Period,Weekend/Holidays,0.017241379,2,41.93333333,16.30125,31.125
10677,11,JEFFERSON PARK,29,NORTH LAWNDALE,PM Period,Weekend/Holidays,0.00862069,1,41.93333333,14.6027,34.5
19215,25,AUSTIN,13,NORTH PARK,Lunch Period,Weekdays,0.025862069,3,41.92777778,17.74756667,32.5
21745,25,AUSTIN,14,ALBANY PARK,Night,Weekdays,0.043103448,5,41.92666667,13.35656,28.45
3979,76,OHARE,8,NEAR NORTH SIDE,PM Period,Weekend/Holidays,323.2931034,37502,41.92277567,24.73006838,55.62331609
24951,53,WEST PULLMAN,27,EAST GARFIELD PARK,Lunch Period,Weekdays,0.060344828,7,41.91904762,27.3102,45.07142857
10382,50,PULLMAN,29,NORTH LAWNDALE,PM Period,Weekdays,0.00862069,1,41.91666667,28.3843,45.25
11121,49,ROSELAND,57,ARCHER HEIGHTS,AM Period,Weekdays,0.00862069,1,41.91666667,26.0337,41.5
23688,31,LOWER WEST SIDE,72,BEVERLY,PM Period,Weekdays,0.051724138,6,41.91666667,18.9658,32.95833333
24971,51,SOUTH DEERING,29,NORTH LAWNDALE,AM Period,Weekdays,0.060344828,7,41.90952381,12.3832,21.17857143
5488,8,NEAR NORTH SIDE,11,JEFFERSON PARK,Lunch Period,Weekdays,2.396551724,278,41.90839329,22.52581115,86.32255396
23265,3,UPTOWN,18,MONTCLARE,Lunch Period,Weekdays,0.051724138,6,41.90833333,16.85401667,30.75
14539,57,ARCHER HEIGHTS,26,WEST GARFIELD PARK,PM Period,Weekdays,0.017241379,2,41.90833333,10.77895,25.75
19285,27,EAST GARFIELD PARK,53,WEST PULLMAN,Lunch Period,Weekdays,0.025862069,3,41.90555556,10.04103333,31.75
30990,68,ENGLEWOOD,1,ROGERS PARK,PM Period,Weekend/Holidays,0.189655172,22,41.90530303,9.651218182,30.65454545
8927,20,HERMOSA,63,GAGE PARK,PM Period,Weekend/Holidays,0.00862069,1,41.9,17.1143,31.25
22454,48,CALUMET HEIGHTS,6,LAKE VIEW,Lunch Period,Weekdays,0.043103448,5,41.89666667,22.21478,36.55
18145,77,EDGEWATER,18,MONTCLARE,AM Period,Weekdays,0.025862069,3,41.89444444,12.51506667,34
4773,19,BELMONT CRAGIN,3,UPTOWN,AM Period,Weekdays,0.396551724,46,41.88985507,13.9874,27.89130435
31632,43,SOUTH SHORE,76,OHARE,Night,Weekdays,0.215517241,25,41.884,41.934704,67.9388
8755,21,AVONDALE,72,BEVERLY,Night,Weekend/Holidays,0.00862069,1,41.88333333,50.8116,85.25
7668,39,KENWOOD,19,BELMONT CRAGIN,Lunch Period,Weekdays,0.00862069,1,41.88333333,25.0194,41.25
10542,27,EAST GARFIELD PARK,36,OAKLAND,AM Period,Weekend/Holidays,0.00862069,1,41.88333333,15.5365,31.82
4004,32,LOOP,76,OHARE,Lunch Period,Weekdays,351.9137931,40822,41.8820444,25.41092083,55.13416197
27771,46,SOUTH CHICAGO,8,NEAR NORTH SIDE,Night,Weekend/Holidays,0.103448276,12,41.87777778,25.00598333,45.9375
2226,76,OHARE,42,WOODLAWN,Night,Weekdays,1.206896552,140,41.87559524,36.37427,75.89435714
14237,70,ASHBURN,77,EDGEWATER,Lunch Period,Weekend/Holidays,0.017241379,2,41.875,34.44595,53.875
13854,51,SOUTH DEERING,22,LOGAN SQUARE,PM Period,Weekend/Holidays,0.017241379,2,41.875,14.41755,26.125
13517,25,AUSTIN,72,BEVERLY,Night,Weekend/Holidays,0.00862069,1,41.86666667,39.7348,60.5
10064,37,FULLER PARK,12,FOREST GLEN,PM Period,Weekdays,0.00862069,1,41.86666667,20.3665,35.25
9935,34,ARMOUR SQUARE,20,HERMOSA,PM Period,Weekdays,0.00862069,1,41.86666667,16.2932,35.75
11177,47,BURNSIDE,74,MOUNT GREENWOOD,AM Period,Weekdays,0.00862069,1,41.86666667,14.4256,31.5
3763,16,IRVING PARK,76,OHARE,Lunch Period,Weekend/Holidays,0.784482759,91,41.86538462,16.28771538,35.45747253
31900,53,WEST PULLMAN,6,LAKE VIEW,AM Period,Weekdays,0.24137931,28,41.86488095,31.791175,49.76785714
22778,2,WEST RIDGE,25,AUSTIN,Lunch Period,Weekend/Holidays,0.043103448,5,41.86333333,7.5509,20.95
26542,49,ROSELAND,25,AUSTIN,PM Period,Weekdays,0.077586207,9,41.85,27.77607778,43.5
12443,10,NORWOOD PARK,29,NORTH LAWNDALE,AM Period,Weekdays,0.00862069,1,41.85,26.1142,40.75
16001,65,WEST LAWN,8,NEAR NORTH SIDE,PM Period,Weekend/Holidays,0.017241379,2,41.85,25.10795,45.375
24481,11,JEFFERSON PARK,23,HUMBOLDT PARK,PM Period,Weekend/Holidays,0.060344828,7,41.8452381,7.7901,26.71428571
24095,66,CHICAGO LAWN,23,HUMBOLDT PARK,PM Period,Weekend/Holidays,0.051724138,6,41.83888889,17.15991667,36.95
27064,12,FOREST GLEN,25,AUSTIN,PM Period,Weekdays,0.086206897,10,41.83666667,11.85282,26.575
9006,53,WEST PULLMAN,23,HUMBOLDT PARK,Lunch Period,Weekend/Holidays,0.00862069,1,41.83333333,32.1356,50.75
16877,44,CHATHAM,19,BELMONT CRAGIN,PM Period,Weekend/Holidays,0.017241379,2,41.825,17.21895,28.5
26262,33,NEAR SOUTH SIDE,48,CALUMET HEIGHTS,Night,Weekdays,0.077586207,9,41.81851852,16.95687778,34.94444444
16746,58,BRIGHTON PARK,1,ROGERS PARK,PM Period,Weekend/Holidays,0.017241379,2,41.81666667,28.53725,45.625
14256,20,HERMOSA,67,WEST ENGLEWOOD,PM Period,Weekend/Holidays,0.017241379,2,41.81666667,26.0337,41.875
29009,39,KENWOOD,66,CHICAGO LAWN,PM Period,Weekdays,0.129310345,15,41.80666667,5.211033333,23.16666667
27276,1,ROGERS PARK,49,ROSELAND,AM Period,Weekend/Holidays,0.094827586,11,41.80454545,39.84896364,60.86363636
20951,53,WEST PULLMAN,25,AUSTIN,PM Period,Weekend/Holidays,0.034482759,4,41.8,34.7599,54
7946,57,ARCHER HEIGHTS,19,BELMONT CRAGIN,Lunch Period,Weekdays,0.00862069,1,41.8,18.8853,33
2819,76,OHARE,60,BRIDGEPORT,Lunch Period,Weekend/Holidays,0.465517241,54,41.7941358,30.63412593,61.8462963
14887,36,OAKLAND,62,WEST ELSDON,Lunch Period,Weekdays,0.017241379,2,41.79166667,14.98105,30.5
15342,54,RIVERDALE,66,CHICAGO LAWN,AM Period,Weekdays,0.017241379,2,41.79166667,11.4632,19.875
4565,55,HEGEWISCH,32,LOOP,AM Period,Weekdays,0.301724138,35,41.78952381,32.74648,51.6
30880,29,NORTH LAWNDALE,70,ASHBURN,PM Period,Weekdays,0.181034483,21,41.78730159,10.0878,20.3452381
28527,27,EAST GARFIELD PARK,19,BELMONT CRAGIN,Lunch Period,Weekdays,0.112068966,13,41.78717949,14.85658462,29.63461538
6052,32,LOOP,49,ROSELAND,PM Period,Weekdays,2.698275862,313,41.78567625,20.07927188,35.82731629
30808,76,OHARE,27,EAST GARFIELD PARK,Lunch Period,Weekend/Holidays,0.181034483,21,41.78333333,26.51363333,57.59619048
13941,14,ALBANY PARK,33,NEAR SOUTH SIDE,PM Period,Weekend/Holidays,0.017241379,2,41.78333333,18.837,33
22707,2,WEST RIDGE,30,SOUTH LAWNDALE,Night,Weekend/Holidays,0.043103448,5,41.78,23.34822,46.25
26533,71,AUBURN GRESHAM,22,LOGAN SQUARE,AM Period,Weekdays,0.077586207,9,41.77777778,10.40775556,29.47222222
29474,23,HUMBOLDT PARK,42,WOODLAWN,PM Period,Weekdays,0.137931034,16,41.77291667,22.31158125,37.625
6758,49,ROSELAND,6,LAKE VIEW,Night,Weekdays,0.543103448,63,41.76772487,32.68683333,50.20238095
12585,72,BEVERLY,47,BURNSIDE,PM Period,Weekdays,0.00862069,1,41.76666667,16.744,31.75
26592,16,IRVING PARK,34,ARMOUR SQUARE,PM Period,Weekdays,0.077586207,9,41.76481481,20.98724444,38.62333333
24217,6,LAKE VIEW,44,CHATHAM,Night,Weekdays,0.060344828,7,41.76428571,24.1247,46.32142857
27233,1,ROGERS PARK,25,AUSTIN,PM Period,Weekend/Holidays,0.094827586,11,41.75909091,21.41007273,35.79545455
3686,28,NEAR WEST SIDE,66,CHICAGO LAWN,Night,Weekdays,0.646551724,75,41.756,9.866509333,24.8176
8837,60,BRIDGEPORT,4,LINCOLN SQUARE,AM Period,Weekend/Holidays,0.00862069,1,24,23.828,49.5
12056,65,WEST LAWN,6,LAKE VIEW,PM Period,Weekend/Holidays,0.00862069,1,41.75,30.0426,48.75
13738,2,WEST RIDGE,43,SOUTH SHORE,PM Period,Weekend/Holidays,0.017241379,2,41.74166667,32.1195,52.5
30472,56,GARFIELD RIDGE,13,NORTH PARK,PM Period,Weekend/Holidays,0.163793103,19,41.74122807,29.57739474,60.35210526
24644,49,ROSELAND,1,ROGERS PARK,Lunch Period,Weekend/Holidays,0.060344828,7,41.73095238,33.2718,51.03571429
30897,76,OHARE,44,CHATHAM,Lunch Period,Weekdays,0.181034483,21,41.73015873,33.9733,61.50333333
23631,76,OHARE,51,SOUTH DEERING,AM Period,Weekend/Holidays,0.051724138,6,41.71666667,48.20876667,75.79166667
22645,71,AUBURN GRESHAM,16,IRVING PARK,Lunch Period,Weekdays,0.043103448,5,41.71333333,23.90528,38.4
27720,56,GARFIELD RIDGE,15,PORTAGE PARK,AM Period,Weekdays,0.094827586,11,41.70757576,18.89115455,50.49909091
24466,13,NORTH PARK,53,WEST PULLMAN,Night,Weekdays,0.060344828,7,41.7047619,42.4005,63.78571429
21071,46,SOUTH CHICAGO,1,ROGERS PARK,Lunch Period,Weekend/Holidays,0.034482759,4,41.70416667,32.695075,51.375
12466,70,ASHBURN,5,NORTH CENTER,AM Period,Weekend/Holidays,0.00862069,1,41.7,39.3162,60.75
10484,19,BELMONT CRAGIN,49,ROSELAND,PM Period,Weekend/Holidays,0.00862069,1,41.7,36.9817,56.25
12037,62,WEST ELSDON,21,AVONDALE,PM Period,Weekdays,0.00862069,1,41.7,16.261,35
6935,77,EDGEWATER,12,FOREST GLEN,Night,Weekdays,0.293103448,34,41.69558824,5.800735294,17.07617647
24295,67,WEST ENGLEWOOD,25,AUSTIN,AM Period,Weekdays,0.060344828,7,41.69285714,18.7128,32.60714286
21140,2,WEST RIDGE,42,WOODLAWN,Night,Weekdays,0.034482759,4,41.69166667,29.499225,46.9375
7009,33,NEAR SOUTH SIDE,65,WEST LAWN,PM Period,Weekdays,0.353448276,41,41.68943089,16.31440488,30.18414634
20494,3,UPTOWN,70,ASHBURN,AM Period,Weekdays,0.034482759,4,41.68333333,33.644975,52.4375
16184,19,BELMONT CRAGIN,36,OAKLAND,PM Period,Weekdays,0.017241379,2,41.68333333,23.53015,38.875
13255,5,NORTH CENTER,62,WEST ELSDON,Lunch Period,Weekdays,0.00862069,1,41.68333333,17.9998,32.25
10470,22,LOGAN SQUARE,62,WEST ELSDON,PM Period,Weekend/Holidays,0.00862069,1,41.68333333,15.8102,29.5
3309,24,WEST TOWN,56,GARFIELD RIDGE,PM Period,Weekend/Holidays,0.318965517,37,41.67927928,16.23967838,39.16648649
27636,6,LAKE VIEW,30,SOUTH LAWNDALE,PM Period,Weekdays,0.094827586,11,41.67727273,17.52558182,32.97181818
9562,49,ROSELAND,16,IRVING PARK,Lunch Period,Weekend/Holidays,0.00862069,1,41.66666667,33.9066,53.5
15782,19,BELMONT CRAGIN,34,ARMOUR SQUARE,Lunch Period,Weekdays,0.017241379,2,41.66666667,20.19745,34.125
12384,21,AVONDALE,27,EAST GARFIELD PARK,AM Period,Weekend/Holidays,0.00862069,1,41.66666667,8.6618,25.25
3585,56,GARFIELD RIDGE,49,ROSELAND,PM Period,Weekdays,0.318965517,37,41.65900901,21.91688649,46.36324324
22596,22,LOGAN SQUARE,42,WOODLAWN,Lunch Period,Weekdays,0.043103448,5,41.65666667,13.44994,27.25
9857,4,LINCOLN SQUARE,69,GREATER GRAND CROSSING,Lunch Period,Weekend/Holidays,0.00862069,1,41.65,31.073,49.75
19761,34,ARMOUR SQUARE,5,NORTH CENTER,PM Period,Weekend/Holidays,0.034482759,4,41.65,17.303475,34.1625
17896,61,NEW CITY,57,ARCHER HEIGHTS,Lunch Period,Weekdays,0.025862069,3,41.64444444,8.0017,24.08333333
21590,19,BELMONT CRAGIN,3,UPTOWN,AM Period,Weekend/Holidays,0.043103448,5,41.64333333,8.89364,21.85
4885,56,GARFIELD RIDGE,19,BELMONT CRAGIN,Lunch Period,Weekdays,0.284482759,33,41.64242424,17.25529697,42.72909091
30623,56,GARFIELD RIDGE,19,BELMONT CRAGIN,AM Period,Weekdays,0.172413793,20,41.63583333,16.595075,38.253
24777,31,LOWER WEST SIDE,25,AUSTIN,Lunch Period,Weekdays,0.060344828,7,41.62380952,13.7908,30
22504,77,EDGEWATER,26,WEST GARFIELD PARK,PM Period,Weekdays,0.043103448,5,41.62333333,22.47238,38.4
29506,77,EDGEWATER,10,NORWOOD PARK,AM Period,Weekdays,0.137931034,16,41.621875,9.0321,21.55625
9016,21,AVONDALE,67,WEST ENGLEWOOD,PM Period,Weekdays,0.00862069,1,41.61666667,26.243,41.75
14582,34,ARMOUR SQUARE,45,AVALON PARK,AM Period,Weekdays,0.017241379,2,41.61666667,21.64645,39.5
15125,46,SOUTH CHICAGO,65,WEST LAWN,PM Period,Weekdays,0.017241379,2,41.61666667,9.1931,18.125
27955,77,EDGEWATER,19,BELMONT CRAGIN,Lunch Period,Weekdays,0.103448276,12,41.61388889,11.32098333,30.125
26581,49,ROSELAND,56,GARFIELD RIDGE,PM Period,Weekdays,0.077586207,9,41.60925926,18.27528889,33.65
20699,26,WEST GARFIELD PARK,65,WEST LAWN,Lunch Period,Weekdays,0.034482759,4,41.60833333,4.817925,11.75
22105,3,UPTOWN,40,WASHINGTON PARK,PM Period,Weekdays,0.043103448,5,41.6,26.47806,44
15031,31,LOWER WEST SIDE,53,WEST PULLMAN,PM Period,Weekdays,0.017241379,2,41.59166667,27.20095,42
14213,15,PORTAGE PARK,39,KENWOOD,Lunch Period,Weekdays,0.017241379,2,41.58333333,26.63745,42.75
9517,68,ENGLEWOOD,4,LINCOLN SQUARE,Lunch Period,Weekdays,0.00862069,1,41.58333333,24.1178,39
24617,38,GRAND BOULEVARD,14,ALBANY PARK,AM Period,Weekdays,0.060344828,7,41.58095238,19.4787,32.39285714
28987,8,NEAR NORTH SIDE,65,WEST LAWN,PM Period,Weekend/Holidays,0.120689655,14,41.57261905,20.05715,37.96428571
838,22,LOGAN SQUARE,1,ROGERS PARK,AM Period,Weekdays,0.853448276,99,41.57121212,11.71738485,28.0540404
7683,72,BEVERLY,3,UPTOWN,Night,Weekend/Holidays,0.00862069,1,41.56666667,34.0837,53.25
13095,46,SOUTH CHICAGO,62,WEST ELSDON,PM Period,Weekdays,0.00862069,1,41.56666667,19.9479,34.75
27078,29,NORTH LAWNDALE,1,ROGERS PARK,Lunch Period,Weekend/Holidays,0.086206897,10,41.56,26.66804,43.15
4020,56,GARFIELD RIDGE,3,UPTOWN,PM Period,Weekdays,5.913793103,686,41.55981535,26.71773878,59.47600583
17047,35,DOUGLAS,55,HEGEWISCH,PM Period,Weekdays,0.017241379,2,41.55833333,26.1142,42.75
17900,22,LOGAN SQUARE,41,HYDE PARK,Lunch Period,Weekend/Holidays,0.025862069,3,41.55555556,20.29136667,35.91666667
29235,2,WEST RIDGE,27,EAST GARFIELD PARK,AM Period,Weekdays,0.129310345,15,41.55555556,9.303653333,20.71666667
28889,48,CALUMET HEIGHTS,24,WEST TOWN,AM Period,Weekdays,0.120689655,14,41.5547619,23.70035,39.46142857
8802,21,AVONDALE,37,FULLER PARK,PM Period,Weekdays,0.00862069,1,41.55,19.7869,34
27183,77,EDGEWATER,25,AUSTIN,AM Period,Weekend/Holidays,0.086206897,10,41.55,19.27814,44.505
8864,15,PORTAGE PARK,30,SOUTH LAWNDALE,PM Period,Weekend/Holidays,0.00862069,1,41.55,12.5258,24
24231,77,EDGEWATER,27,EAST GARFIELD PARK,PM Period,Weekdays,0.060344828,7,41.54761905,17.5789,34.44285714
14942,49,ROSELAND,4,LINCOLN SQUARE,Lunch Period,Weekend/Holidays,0.017241379,2,41.54166667,31.99875,50.5
31749,56,GARFIELD RIDGE,69,GREATER GRAND CROSSING,Night,Weekend/Holidays,0.232758621,27,41.53641975,18.71356667,39.77777778
11955,19,BELMONT CRAGIN,37,FULLER PARK,AM Period,Weekdays,0.00862069,1,41.53333333,19.5293,35.5
320,76,OHARE,41,HYDE PARK,Night,Weekdays,13.68103448,1587,41.52297837,34.63156667,74.63880907
2397,10,NORWOOD PARK,24,WEST TOWN,PM Period,Weekdays,0.275862069,32,41.52239583,17.47705313,36.5709375
32012,8,NEAR NORTH SIDE,18,MONTCLARE,Lunch Period,Weekdays,0.24137931,28,41.52202381,16.994125,34.98464286
8782,74,MOUNT GREENWOOD,10,NORWOOD PARK,AM Period,Weekdays,0.00862069,1,41.51666667,47.5433,71
15147,61,NEW CITY,65,WEST LAWN,Night,Weekdays,0.017241379,2,41.51666667,7.65555,22.5
27148,25,AUSTIN,51,SOUTH DEERING,Night,Weekdays,0.086206897,10,41.51333333,34.38155,52.85
788,16,IRVING PARK,76,OHARE,PM Period,Weekdays,3.215517241,373,41.50469169,13.2843992,32.3647185
29665,17,DUNNING,24,WEST TOWN,PM Period,Weekdays,0.137931034,16,41.50104167,11.3645875,30.45625
15754,5,NORTH CENTER,42,WOODLAWN,AM Period,Weekend/Holidays,0.017241379,2,41.5,28.98,52.95
13793,7,LINCOLN PARK,30,SOUTH LAWNDALE,Lunch Period,Weekend/Holidays,0.017241379,2,41.5,22.1375,39.125
16098,1,ROGERS PARK,20,HERMOSA,Lunch Period,Weekend/Holidays,0.017241379,2,41.5,16.1805,30
15988,20,HERMOSA,65,WEST LAWN,Lunch Period,Weekend/Holidays,0.017241379,2,41.5,9.66,19.125
22613,56,GARFIELD RIDGE,11,JEFFERSON PARK,AM Period,Weekdays,0.043103448,5,41.49666667,29.39216,51.41
21414,16,IRVING PARK,38,GRAND BOULEVARD,PM Period,Weekdays,0.034482759,4,41.49583333,16.675575,35.3125
4671,1,ROGERS PARK,76,OHARE,AM Period,Weekdays,6.112068966,709,41.49315938,19.66475346,44.05894217
13301,43,SOUTH SHORE,17,DUNNING,PM Period,Weekend/Holidays,0.00862069,1,41.48333333,33.1821,51.75
19835,1,ROGERS PARK,68,ENGLEWOOD,Lunch Period,Weekdays,0.034482759,4,41.48333333,31.1052,49.625
18696,51,SOUTH DEERING,27,EAST GARFIELD PARK,AM Period,Weekdays,0.025862069,3,41.48333333,18.9175,31.33333333
11727,26,WEST GARFIELD PARK,2,WEST RIDGE,Lunch Period,Weekend/Holidays,0.00862069,1,41.48333333,16.8889,31.5
28798,76,OHARE,67,WEST ENGLEWOOD,Night,Weekdays,0.120689655,14,41.4797619,37.61995,70.82
20397,53,WEST PULLMAN,66,CHICAGO LAWN,AM Period,Weekdays,0.034482759,4,41.47916667,7.18865,24.125
23110,51,SOUTH DEERING,15,PORTAGE PARK,Lunch Period,Weekdays,0.051724138,6,41.47777778,32.13828333,49.5
23506,17,DUNNING,39,KENWOOD,PM Period,Weekdays,0.051724138,6,41.47222222,23.38793333,44.625
7972,7,LINCOLN PARK,73,WASHINGTON HEIGHTS,Lunch Period,Weekend/Holidays,0.00862069,1,41.46666667,24.3754,42.25
26668,24,WEST TOWN,67,WEST ENGLEWOOD,PM Period,Weekdays,0.086206897,10,41.45833333,16.30447,33.575
370,7,LINCOLN PARK,76,OHARE,Night,Weekdays,4.413793103,512,41.45406901,22.13426113,44.96542969
27112,15,PORTAGE PARK,77,EDGEWATER,Lunch Period,Weekend/Holidays,0.086206897,10,41.45333333,12.41954,26.599
676,28,NEAR WEST SIDE,50,PULLMAN,PM Period,Weekdays,0.75862069,88,41.44545455,21.89636591,37.53579545
20667,49,ROSELAND,5,NORTH CENTER,AM Period,Weekdays,0.034482759,4,41.44166667,29.354325,47
22666,46,SOUTH CHICAGO,1,ROGERS PARK,PM Period,Weekend/Holidays,0.043103448,5,41.43666667,31.6365,49.2
9843,7,LINCOLN PARK,70,ASHBURN,Lunch Period,Weekend/Holidays,0.00862069,1,41.43333333,31.6365,50.5
30313,69,GREATER GRAND CROSSING,3,UPTOWN,Lunch Period,Weekdays,0.163793103,19,41.43157895,31.72886316,50.28947368
4887,10,NORWOOD PARK,8,NEAR NORTH SIDE,PM Period,Weekend/Holidays,0.293103448,34,41.42941176,23.96911176,48.73147059
24784,37,FULLER PARK,3,UPTOWN,PM Period,Weekdays,0.060344828,7,41.42857143,22.655,43.45714286
16874,29,NORTH LAWNDALE,16,IRVING PARK,PM Period,Weekend/Holidays,0.017241379,2,41.425,13.08125,31.2
3866,4,LINCOLN SQUARE,28,NEAR WEST SIDE,Night,Weekdays,0.301724138,35,41.42,11.68492,25.89514286
25934,25,AUSTIN,77,EDGEWATER,Lunch Period,Weekdays,0.068965517,8,41.41875,23.8098875,41.5475
1578,32,LOOP,70,ASHBURN,PM Period,Weekdays,1.137931034,132,41.41843434,19.57308712,35.84439394
13345,75,MORGAN PARK,1,ROGERS PARK,PM Period,Weekdays,0.00862069,1,41.41666667,41.377,62.5
20588,66,CHICAGO LAWN,6,LAKE VIEW,PM Period,Weekdays,0.034482759,4,41.4125,26.2913,44.625
16029,25,AUSTIN,54,RIVERDALE,Night,Weekdays,0.017241379,2,41.40833333,41.5863,63.25
15216,29,NORTH LAWNDALE,48,CALUMET HEIGHTS,PM Period,Weekend/Holidays,0.017241379,2,41.40833333,13.43545,22.875
29932,73,WASHINGTON HEIGHTS,6,LAKE VIEW,AM Period,Weekdays,0.146551724,17,41.40392157,22.48128235,36.27941176
15819,14,ALBANY PARK,49,ROSELAND,Lunch Period,Weekdays,0.017241379,2,41.39166667,34.78405,52.75
13822,16,IRVING PARK,30,SOUTH LAWNDALE,PM Period,Weekend/Holidays,0.017241379,2,41.39166667,14.8925,29.375
29703,54,RIVERDALE,33,NEAR SOUTH SIDE,AM Period,Weekdays,0.146551724,17,41.39019608,26.50628235,43.22058824
16275,49,ROSELAND,4,LINCOLN SQUARE,Night,Weekend/Holidays,0.017241379,2,41.38333333,36.74825,56.625
13554,38,GRAND BOULEVARD,11,JEFFERSON PARK,Lunch Period,Weekend/Holidays,0.00862069,1,41.38333333,23.0713,37
31441,52,EAST SIDE,27,EAST GARFIELD PARK,AM Period,Weekdays,0.206896552,24,41.37916667,28.87669167,45.63541667
7419,7,LINCOLN PARK,42,WOODLAWN,Night,Weekdays,0.293103448,34,41.37794118,8.956808824,32.70852941
31246,77,EDGEWATER,10,NORWOOD PARK,PM Period,Weekdays,0.198275862,23,41.37608696,13.4225,29.31913043
27099,3,UPTOWN,49,ROSELAND,PM Period,Weekend/Holidays,0.086206897,10,41.37333333,25.92744,50.475
29483,77,EDGEWATER,42,WOODLAWN,Lunch Period,Weekend/Holidays,0.137931034,16,41.371875,9.4366125,46.590625
14392,3,UPTOWN,70,ASHBURN,Night,Weekdays,0.017241379,2,41.36666667,34.5506,53.375
8667,3,UPTOWN,62,WEST ELSDON,AM Period,Weekdays,0.00862069,1,41.36666667,29.2859,46.5
14566,6,LAKE VIEW,30,SOUTH LAWNDALE,Lunch Period,Weekend/Holidays,0.017241379,2,41.36666667,19.803,38.345
20134,52,EAST SIDE,42,WOODLAWN,PM Period,Weekdays,0.034482759,4,41.3625,11.88985,30.25
28594,29,NORTH LAWNDALE,75,MORGAN PARK,PM Period,Weekdays,0.112068966,13,41.35641026,27.45173846,43.73076923
22091,67,WEST ENGLEWOOD,16,IRVING PARK,Lunch Period,Weekend/Holidays,0.043103448,5,41.35333333,24.51708,39.95
25565,24,WEST TOWN,46,SOUTH CHICAGO,PM Period,Weekdays,0.068965517,8,41.35208333,21.2218125,34.34375
31437,6,LAKE VIEW,68,ENGLEWOOD,PM Period,Weekdays,0.206896552,24,41.34791667,22.205925,37.46125
23320,41,HYDE PARK,55,HEGEWISCH,PM Period,Weekdays,0.051724138,6,41.34166667,16.26636667,29.08333333
11200,3,UPTOWN,47,BURNSIDE,Lunch Period,Weekend/Holidays,0.00862069,1,41.33333333,31.6204,49.75
13222,23,HUMBOLDT PARK,73,WASHINGTON HEIGHTS,AM Period,Weekdays,0.00862069,1,41.33333333,27.0641,42
