S/N,pickup_community_area,pickup_ca,dropoff_community_area,dropoff_ca,time_indicator,cal_day_desc,avg_trips,total_trips,average_time,average_km,average_fare
21098,58,BRIGHTON PARK,35,DOUGLAS,AM Period,Weekdays,0.034482759,4,367.2208333,2.5277,7.375
15553,1,ROGERS PARK,71,AUBURN GRESHAM,Night,Weekdays,0.017241379,2,366.5166667,35.21875,54.5
16709,59,MCKINLEY PARK,42,WOODLAWN,Lunch Period,Weekdays,0.017241379,2,362.6166667,6.36755,13.5
7890,60,BRIDGEPORT,1,ROGERS PARK,AM Period,Weekdays,0.00862069,1,38.15,26.7743,42.75
1927,59,MCKINLEY PARK,32,LOOP,Lunch Period,Weekdays,0.586206897,68,349.6514706,5.883129412,16.7775
31359,59,MCKINLEY PARK,76,OHARE,Lunch Period,Weekdays,0.206896552,24,347.6118056,22.72447917,50.4375
16320,1,ROGERS PARK,61,NEW CITY,Night,Weekend/Holidays,0.017241379,2,344.0583333,30.34045,50.125
20781,59,MCKINLEY PARK,4,LINCOLN SQUARE,Lunch Period,Weekdays,0.034482759,4,343.1208333,11.90595,23.8625
8666,10,NORWOOD PARK,73,WASHINGTON HEIGHTS,AM Period,Weekdays,0.00862069,1,339.6333333,29.5274,48
23704,59,MCKINLEY PARK,1,ROGERS PARK,AM Period,Weekdays,0.051724138,6,332.3333333,10.98556667,25.79166667
15042,22,LOGAN SQUARE,71,AUBURN GRESHAM,Night,Weekdays,0.017241379,2,331.9916667,13.45155,22.5
15716,42,WOODLAWN,22,LOGAN SQUARE,Lunch Period,Weekend/Holidays,0.017241379,2,330.125,3.22,15.875
23992,77,EDGEWATER,35,DOUGLAS,Night,Weekend/Holidays,0.051724138,6,329.4277778,12.93635,34.22166667
13555,58,BRIGHTON PARK,61,NEW CITY,Lunch Period,Weekdays,0.00862069,1,329,0,3.25
17174,1,ROGERS PARK,59,MCKINLEY PARK,Night,Weekend/Holidays,0.017241379,2,321.5333333,12.719,25.625
19555,12,FOREST GLEN,28,NEAR WEST SIDE,Night,Weekend/Holidays,0.025862069,3,316.95,9.633166667,16.58333333
19820,48,CALUMET HEIGHTS,29,NORTH LAWNDALE,PM Period,Weekdays,0.034482759,4,313.2958333,27.4988,44.3125
19576,44,CHATHAM,6,LAKE VIEW,Night,Weekdays,0.025862069,3,306.9,28.05693333,54.33333333
20848,10,NORWOOD PARK,56,GARFIELD RIDGE,PM Period,Weekdays,0.034482759,4,305.3583333,22.0409,56.055
20296,67,WEST ENGLEWOOD,33,NEAR SOUTH SIDE,PM Period,Weekend/Holidays,0.034482759,4,289.2875,7.337575,20.125
20628,46,SOUTH CHICAGO,8,NEAR NORTH SIDE,Night,Weekdays,0.034482759,4,284.3833333,28.11865,44.5625
22936,65,WEST LAWN,32,LOOP,Night,Weekdays,0.043103448,5,281.15,15.91646,34.112
27122,59,MCKINLEY PARK,34,ARMOUR SQUARE,AM Period,Weekdays,0.086206897,10,279.1183333,9.92243,17.65
28084,11,JEFFERSON PARK,34,ARMOUR SQUARE,Night,Weekdays,0.103448276,12,274.0111111,30.01979167,61.51
9652,11,JEFFERSON PARK,27,EAST GARFIELD PARK,Night,Weekend/Holidays,0.00862069,1,274,7.7602,14.25
19390,77,EDGEWATER,46,SOUTH CHICAGO,Night,Weekdays,0.025862069,3,272.7722222,31.97996667,126
9778,42,WOODLAWN,57,ARCHER HEIGHTS,PM Period,Weekdays,0.00862069,1,271.8666667,122.3278,207.25
19758,44,CHATHAM,76,OHARE,Night,Weekend/Holidays,0.034482759,4,270.7583333,42.628775,67.7175
17407,67,WEST ENGLEWOOD,32,LOOP,Night,Weekdays,0.025862069,3,270.3833333,13.37373333,25.16666667
16677,42,WOODLAWN,63,GAGE PARK,AM Period,Weekdays,0.017241379,2,268.075,10.2396,22.375
21433,49,ROSELAND,35,DOUGLAS,Night,Weekdays,0.034482759,4,263.2666667,16.595075,27.3125
20069,69,GREATER GRAND CROSSING,51,SOUTH DEERING,Night,Weekdays,0.034482759,4,261.5916667,11.290125,21.1875
16080,59,MCKINLEY PARK,68,ENGLEWOOD,AM Period,Weekdays,0.017241379,2,258.5166667,4.74145,10.5
23510,37,FULLER PARK,8,NEAR NORTH SIDE,AM Period,Weekend/Holidays,0.051724138,6,257.375,10.62868333,25.54166667
14386,63,GAGE PARK,72,BEVERLY,PM Period,Weekdays,0.017241379,2,254.475,53.3715,132.625
21048,44,CHATHAM,30,SOUTH LAWNDALE,Night,Weekdays,0.034482759,4,250.6791667,19.79495,31.4375
18104,51,SOUTH DEERING,8,NEAR NORTH SIDE,Night,Weekdays,0.025862069,3,250.1166667,20.68313333,33.41666667
23158,23,HUMBOLDT PARK,4,LINCOLN SQUARE,Night,Weekdays,0.051724138,6,247.4444444,11.37465,21.58333333
21983,45,AVALON PARK,39,KENWOOD,Lunch Period,Weekend/Holidays,0.043103448,5,246.8766667,11.67572,22
20725,59,MCKINLEY PARK,43,SOUTH SHORE,AM Period,Weekdays,0.034482759,4,245.0125,3.360875,9
14334,59,MCKINLEY PARK,36,OAKLAND,AM Period,Weekdays,0.017241379,2,243.2333333,3.22,8.625
19307,7,LINCOLN PARK,58,BRIGHTON PARK,AM Period,Weekend/Holidays,0.025862069,3,242.7277778,14.2324,24.16666667
31168,59,MCKINLEY PARK,35,DOUGLAS,PM Period,Weekdays,0.198275862,23,240.4927536,4.2364,10.95652174
1697,59,MCKINLEY PARK,76,OHARE,AM Period,Weekdays,0.25862069,30,239.9661111,26.76195667,49.799
21154,8,NEAR NORTH SIDE,55,HEGEWISCH,Lunch Period,Weekdays,0.034482759,4,238.9791667,26.6777,42.375
20199,68,ENGLEWOOD,62,WEST ELSDON,PM Period,Weekdays,0.034482759,4,238.4875,11.2378,24.15
23332,38,GRAND BOULEVARD,76,OHARE,Night,Weekdays,0.051724138,6,238.1194444,35.37706667,54.875
1242,59,MCKINLEY PARK,35,DOUGLAS,AM Period,Weekdays,1.025862069,119,236.8844538,6.362476471,15.67201681
22615,59,MCKINLEY PARK,38,GRAND BOULEVARD,Lunch Period,Weekdays,0.043103448,5,236.6933333,5.39994,14.5
18961,46,SOUTH CHICAGO,75,MORGAN PARK,PM Period,Weekend/Holidays,0.025862069,3,235.5111111,12.6063,29.66666667
22448,33,NEAR SOUTH SIDE,13,NORTH PARK,Night,Weekend/Holidays,0.043103448,5,234.38,8.38166,31.67
5626,59,MCKINLEY PARK,35,DOUGLAS,Lunch Period,Weekdays,1.232758621,143,230.5913753,5.727997203,14.65559441
20981,36,OAKLAND,61,NEW CITY,Night,Weekdays,0.034482759,4,230.5166667,4.986975,13.875
16437,5,NORTH CENTER,63,GAGE PARK,PM Period,Weekdays,0.017241379,2,230,2.093,4550.135
26864,59,MCKINLEY PARK,7,LINCOLN PARK,AM Period,Weekdays,0.086206897,10,228.8283333,10.17359,22.596
27997,59,MCKINLEY PARK,6,LAKE VIEW,Lunch Period,Weekdays,0.103448276,12,226.5069444,13.01416667,27.10166667
14202,59,MCKINLEY PARK,46,SOUTH CHICAGO,Lunch Period,Weekdays,0.017241379,2,225.9333333,20.6402,36.875
20572,65,WEST LAWN,24,WEST TOWN,Night,Weekdays,0.034482759,4,225.8666667,17.351775,29.775
21512,26,WEST GARFIELD PARK,24,WEST TOWN,AM Period,Weekdays,0.043103448,5,224.4133333,11.98162,22.75
8162,39,KENWOOD,10,NORWOOD PARK,AM Period,Weekdays,0.00862069,1,218.4833333,24.3915,43.75
29048,59,MCKINLEY PARK,24,WEST TOWN,AM Period,Weekdays,0.129310345,15,216.0433333,11.47608,23.27
6599,59,MCKINLEY PARK,32,LOOP,AM Period,Weekdays,0.939655172,109,210.719419,7.914405505,20.49743119
11996,60,BRIDGEPORT,3,UPTOWN,Lunch Period,Weekend/Holidays,0.00862069,1,210.5833333,21.6384,66.25
12036,59,MCKINLEY PARK,67,WEST ENGLEWOOD,Night,Weekdays,0.00862069,1,210,9.499,80.5
5425,59,MCKINLEY PARK,8,NEAR NORTH SIDE,Lunch Period,Weekdays,0.646551724,75,209.3733333,8.808202667,19.55973333
22008,44,CHATHAM,76,OHARE,Night,Weekdays,0.043103448,5,209.1133333,34.4379,68.78
19195,59,MCKINLEY PARK,39,KENWOOD,Lunch Period,Weekdays,0.025862069,3,201.9611111,9.2092,18.25
